N	2gram	Vygotskiy__4	Analitik
1	в качестве	21	31
2	может быть	12	29
3	в том	42	27
4	не может	6	22
5	и не	8	21
6	в частности	5	19
7	и в	20	18
8	а не	7	17
9	но и	9	17
10	представляет собой	3	16
11	отнюдь не	3	15
12	не только	15	15
13	тогда как	2	14
14	не в	4	14
15	как и	9	13
16	в его	11	13
17	в этом	24	13
18	том что	35	12
19	при этом	12	12
20	состоит в	4	11
21	в себе	10	11
22	но не	3	10
23	то же	16	9
24	а в	2	9
25	не есть	2	8
26	в той	2	8
27	но в	3	8
28	к тому	6	7
29	том чтобы	2	7
30	этого слова	11	7
31	тем самым	7	7
32	это не	5	6
33	прежде всего	2	6
34	в самом	6	6
35	в сущности	4	6
36	себя в	3	6
37	далеко не	2	6
38	то что	15	6
39	в своей	7	6
40	в отличие	2	6
41	отличие от	2	6
42	в основе	17	6
43	точки зрения	24	6
44	по своей	6	6
45	только в	10	6
46	мы имеем	2	6
47	и того	5	5
48	и как	9	5
49	в этой	3	5
50	что в	19	5
51	такого рода	6	5
52	как бы	7	5
53	в целом	11	5
54	в их	12	5
55	и т.п	2	5
56	и его	5	5
57	между тем	9	5
58	и на	6	5
59	о том	5	5
60	того что	10	4
61	и более	7	4
62	могут быть	7	4
63	столь же	3	4
64	с другой	12	4
65	ни в	3	4
66	тому же	6	4
67	того же	9	4
68	для того	5	4
69	в области	4	4
70	все же	5	4
71	вместе с	8	4
72	так и	5	4
73	именно в	3	4
74	с точки	11	4
75	место в	2	3
76	том числе	2	3
77	не могут	3	3
78	в нашем	4	3
79	которая в	2	3
80	в собственном	7	3
81	в нем	2	3
82	и к	5	3
83	в ходе	4	3
84	что он	6	3
85	в силу	6	3
86	как известно	3	3
87	еще не	2	3
88	одной стороны	9	3
89	одним из	2	3
90	даже в	2	3
91	что и	9	3
92	это означает	2	3
93	таким образом	25	3
94	а с	2	3
95	с одной	9	3
96	того чтобы	7	3
97	к нему	2	3
98	в таком	2	3
99	тому как	2	3
100	между двумя	2	3
101	подобно тому	2	3
102	что мы	7	3
103	вопроса о	2	3
104	в равной	3	3
105	как он	4	3
106	а также	2	3
107	оно может	3	3
108	если бы	5	3
109	и то	10	2
110	которое дает	2	2
111	не являются	3	2
112	только не	5	2
113	на все	3	2
114	никогда не	5	2
115	все эти	5	2
116	между собой	5	2
117	в какой	3	2
118	не является	5	2
119	из этих	2	2
120	тогда когда	8	2
121	не просто	2	2
122	на место	3	2
123	как уже	4	2
124	поведения в	2	2
125	его к	4	2
126	в начале	2	2
127	такой же	2	2
128	должно быть	3	2
129	для него	2	2
130	случае не	2	2
131	было бы	8	2
132	на его	3	2
133	говоря о	2	2
134	свое время	2	2
135	и является	3	2
136	в свое	2	2
137	один из	3	2
138	как говорит	2	2
139	из них	4	2
140	на каждом	6	2
141	научного мышления	3	2
142	в процессе	27	2
143	данном случае	2	2
144	со стороны	3	2
145	выступает в	5	2
146	и тогда	2	2
147	по выражению	4	2
148	другой стороны	9	2
149	отличается от	2	2
150	здесь не	2	2
151	на этом	3	2
152	той же	6	2
153	собой не	2	2
154	этом отношении	7	2
155	анализа мы	2	2
156	самом деле	7	2
157	может служить	2	2
158	едва ли	2	2
159	роль в	4	2
160	как мы	13	2
161	на основе	10	2
162	также и	2	2
163	является по	2	2
164	в данном	2	2
165	одного и	6	2
166	же самое	7	2
167	могли бы	9	2
168	которые в	4	2
169	так как	10	2
170	потому что	12	2
171	в которой	3	2
172	в сознании	4	2
173	и с	4	2
