N	2gram	Berdyaev_N_1	Stilisti
1	и в	16	42
2	не только	5	27
3	и т.п	2	24
4	прежде всего	4	22
5	хотя бы	2	17
6	но и	3	15
7	и не	11	14
8	может быть	7	12
9	не может	16	12
10	как и	7	11
11	в этом	7	10
12	в то	2	9
13	общественной жизни	6	9
14	то что	4	9
15	мы не	2	9
16	в ней	5	8
17	с тем	3	8
18	в себе	2	8
19	и это	2	8
20	никогда не	6	7
21	и от	2	7
22	и на	2	7
23	потому что	4	7
24	с его	6	7
25	а не	17	7
26	того чтобы	2	7
27	не в	6	6
28	когда мы	2	6
29	в нем	5	6
30	во всех	3	6
31	так и	2	6
32	а в	2	5
33	и с	2	5
34	как это	2	5
35	вместе с	2	5
36	все время	2	4
37	к тому	3	4
38	связаны с	2	4
39	все это	5	4
40	так же	2	4
41	в обществе	2	4
42	о том	4	4
43	но в	2	4
44	не существует	3	4
45	и к	5	4
46	себя в	2	4
47	уже не	2	4
48	и пр	3	4
49	можно было	2	4
50	это не	4	3
51	в будущем	2	3
52	но для	2	3
53	хотя и	2	3
54	не к	2	3
55	жизни и	8	3
56	лишь в	6	3
57	и даже	2	3
58	сказать что	3	3
59	и все	4	3
60	в ее	3	3
61	том что	2	3
62	еще не	3	3
63	конечно не	3	3
64	должно было	2	3
65	нет и	2	3
66	не будет	7	3
67	что такое	3	3
68	и для	4	3
69	роль в	2	3
70	не знает	6	3
71	общества и	2	3
72	место в	2	2
73	быть может	4	2
74	зависит от	2	2
75	человека и	3	2
76	вопрос о	3	2
77	в мире	3	2
78	в том	8	2
79	но это	6	2
80	времени и	2	2
81	не было	4	2
82	все эти	2	2
83	должно быть	4	2
84	в жизни	5	2
85	в основе	3	2
86	ни к	2	2
87	не будут	2	2
88	с этим	2	2
89	но не	2	2
90	по своему	4	2
91	равно как	2	2
92	помнить что	2	2
93	и потому	4	2
94	не есть	3	2
95	как не	8	2
96	в своей	3	2
97	бытия в	2	2
98	как в	3	2
99	перейти к	3	2
100	со всех	4	2
