N	2gram	Propp_Isto_6	Sovremen
1	не может	6	17
2	может быть	11	12
3	таким образом	12	11
4	мы не	6	9
5	в этом	12	7
6	и в	26	7
7	и не	10	6
8	как и	5	6
9	мы можем	7	6
10	только одна	3	6
11	ничего не	2	6
12	что же	2	5
13	прежде всего	4	5
14	все эти	8	5
15	и наконец	3	5
16	как бы	4	4
17	мы видели	11	4
18	жизни и	2	4
19	вместе с	8	4
20	это не	4	4
21	а в	3	4
22	вопрос о	3	4
23	не только	10	4
24	в том	12	4
25	их в	3	4
26	мы должны	2	4
27	зависимости от	2	4
28	так как	18	4
29	но мы	2	3
30	все же	8	3
31	на этой	2	3
32	видели что	3	3
33	отличается от	2	3
34	то же	5	3
35	в нем	8	3
36	а не	2	3
37	для нас	2	3
38	у нас	5	3
39	когда мы	2	3
40	не в	3	3
41	в этой	2	3
42	одна из	2	3
43	еще не	9	3
44	при этом	3	3
45	было бы	2	3
46	в одном	3	3
47	как он	6	3
48	в себе	3	3
49	что она	3	3
50	но в	7	3
51	же мы	5	2
52	может иметь	2	2
53	что это	2	2
54	в виде	6	2
55	в некоторых	2	2
56	у него	7	2
57	не будем	2	2
58	на котором	3	2
59	то и	2	2
60	из этих	4	2
61	или же	2	2
62	с одной	7	2
63	как мы	4	2
64	уже не	7	2
65	и что	5	2
66	что при	2	2
67	из которых	3	2
68	дает нам	2	2
69	и по	4	2
70	мы знаем	2	2
71	мы видим	5	2
72	но все	2	2
73	такой же	3	2
74	во всяком	2	2
75	знаем что	2	2
76	могут быть	3	2
77	с этим	2	2
78	и они	2	2
79	что в	12	2
80	на его	4	2
81	ее на	2	2
82	в его	5	2
83	всяком случае	2	2
