N	2gram	Voloshinov_1	Hudozhes
1	и в	38	28
2	том что	3	19
3	в ее	3	18
4	и не	14	18
5	в том	2	15
6	а не	6	14
7	не в	6	13
8	в этом	10	13
9	о том	4	12
10	перед нами	3	11
11	как и	10	11
12	при этом	9	11
13	в его	6	11
14	не только	27	11
15	уже не	4	10
16	но и	13	9
17	в себе	9	9
18	в душе	2	8
19	в жизни	2	8
20	что он	2	8
21	может быть	13	8
22	себя в	4	8
23	так и	6	8
24	между тем	3	8
25	и все	4	7
26	к тому	4	7
27	об этом	3	7
28	в мире	2	7
29	в частности	3	7
30	с ним	2	7
31	как это	5	7
32	это не	3	6
33	можно сказать	4	6
34	в котором	3	6
35	то что	8	6
36	жизни и	3	6
37	в своей	2	6
38	если бы	4	6
39	то же	14	6
40	не было	2	6
41	а в	5	6
42	и с	5	6
43	тем что	2	6
44	в то	9	6
45	я и	2	6
46	с его	7	5
47	что это	4	5
48	как бы	28	5
49	как в	2	5
50	да и	4	5
51	в этой	6	5
52	и сам	2	5
53	в самом	4	5
54	никогда не	7	5
55	только на	3	5
56	и его	7	5
57	для него	3	5
58	ничего не	8	5
59	бы и	2	4
60	тому что	5	4
61	внутренней жизни	3	4
62	своей жизни	5	4
63	но не	2	4
64	в качестве	4	4
65	же время	7	4
66	для того	9	4
67	о своем	3	4
68	он не	2	4
69	что и	3	4
70	и уже	3	4
71	не может	12	4
72	человека в	2	4
73	того чтобы	7	4
74	на наш	2	4
75	только в	6	4
76	как только	4	3
77	бы не	2	3
78	все время	5	3
79	в одном	3	3
80	но при	3	3
81	прежде всего	21	3
82	что было	3	3
83	в нем	4	3
84	для нас	3	3
85	самом деле	4	3
86	еще не	3	3
87	было бы	7	3
88	несмотря на	2	3
89	одной из	2	3
90	в ней	8	3
91	мы уже	10	3
92	в этих	2	3
93	на него	4	3
94	все это	4	3
95	а с	5	3
96	и он	2	3
97	так же	4	3
98	или в	2	3
99	можно было	4	3
100	с другими	2	3
101	и на	6	3
102	теперь же	2	3
103	что у	3	3
104	же самое	5	3
105	и это	7	3
106	ни слова	2	3
107	к нему	2	3
108	в основе	2	2
109	место в	2	2
110	прежде чем	2	2
111	в голову	3	2
112	отнюдь не	10	2
113	однако в	2	2
114	его и	3	2
115	и от	7	2
116	гораздо более	2	2
117	с собой	2	2
118	вовсе не	2	2
119	как уже	2	2
120	или иного	5	2
121	или иной	4	2
122	не с	3	2
123	как мы	9	2
124	ли он	2	2
125	тому же	2	2
126	и к	4	2
127	того или	5	2
128	не является	5	2
129	один из	4	2
130	в нашем	5	2
131	все же	7	2
132	внутри себя	2	2
133	точкой зрения	5	2
134	не будет	3	2
135	отношение к	2	2
136	во второй	3	2
137	из них	3	2
138	вместе с	5	2
139	сих пор	2	2
140	что же	8	2
141	и тогда	2	2
142	здесь не	2	2
143	еще и	2	2
144	те же	4	2
145	лишь в	4	2
146	тем самым	7	2
147	и эта	3	2
148	между ними	3	2
149	хотя бы	18	2
150	и для	3	2
151	с точки	5	2
152	той же	5	2
153	роль в	3	2
154	и то	3	2
155	у которого	5	2
156	сказать что	3	2
157	потому что	5	2
158	теперь в	3	2
159	нуждается в	2	2
160	точки зрения	10	2
161	с самим	2	2
162	себе в	2	2
163	и т.д	21	2
164	и внешней	3	2
165	его в	4	2
166	зрения на	2	2
167	нет ничего	2	2
168	ответ на	2	2
169	та же	3	2
170	но в	5	2
