N	2gram	Bakhtin_KF_1	Marksizm
1	может быть	45	28
2	и пр	3	25
3	и в	24	19
4	как бы	9	19
5	и не	26	19
6	не может	27	18
7	в процессе	2	18
8	точки зрения	12	17
9	то же	5	16
10	и его	17	16
11	в этом	14	15
12	лишь в	8	14
13	не только	5	13
14	с точки	9	13
15	в нем	28	11
16	если бы	8	11
17	вовсе не	7	11
18	не в	12	10
19	но и	9	10
20	том что	4	10
21	так и	2	10
22	для него	8	9
23	при этом	4	9
24	в основе	5	9
25	как и	5	9
26	самом деле	3	9
27	а не	17	9
28	слова в	2	8
29	отнюдь не	6	8
30	же время	2	8
31	по отношению	26	8
32	в то	3	8
33	отношению к	22	8
34	только в	16	8
35	никогда не	5	7
36	в том	6	7
37	его в	5	7
38	но в	5	7
39	прежде всего	2	7
40	на самом	3	7
41	и для	9	7
42	в смысле	6	6
43	ни в	12	6
44	и как	2	6
45	в свою	3	6
46	того чтобы	2	6
47	ни было	4	6
48	и все	7	6
49	между тем	4	6
50	во всех	11	6
51	быть и	3	6
52	для того	3	6
53	хотя бы	4	6
54	то ни	2	5
55	или иной	2	5
56	в контексте	5	5
57	к нему	12	5
58	в их	8	5
59	и на	3	5
60	и здесь	7	5
61	к этому	2	5
62	и того	2	5
63	совершенно не	6	5
64	в его	40	5
65	этого слова	2	5
66	все же	5	5
67	в данном	2	5
68	отношении к	2	5
69	должна быть	4	4
70	тому что	2	4
71	это не	10	4
72	той или	3	4
73	то что	7	4
74	и тем	3	4
75	бы то	2	4
76	и их	6	4
77	того что	3	4
78	с ними	3	4
79	а как	2	4
80	в единстве	7	4
81	ориентация в	2	4
82	что он	2	4
83	было бы	8	4
84	конечно не	7	4
85	для себя	5	4
86	и ее	2	4
87	в себе	21	4
88	и т.д	2	4
89	ничего не	3	4
90	здесь мы	4	3
91	в этой	2	3
92	в ней	3	3
93	в котором	24	3
94	его и	2	3
95	в каком	4	3
96	а в	4	3
97	все эти	10	3
98	в другом	3	3
99	не имеет	5	3
100	должно быть	6	3
101	не было	8	3
102	но ведь	5	3
103	о том	3	3
104	подхода к	2	3
105	сознания и	3	3
106	отсюда следует	2	3
107	не как	4	3
108	по себе	2	3
109	конечно в	2	3
110	оценки и	2	3
111	в ее	16	3
112	в качестве	2	3
113	еще не	4	3
114	бы он	2	3
115	в корне	2	3
116	он не	6	3
117	что и	7	3
118	не есть	20	3
119	не будет	2	3
120	в своей	10	3
121	на основе	7	3
122	менее всего	6	3
123	и то	2	3
124	могут быть	3	3
125	и это	12	3
126	место в	5	2
127	независимо от	3	2
128	что в	4	2
129	что это	3	2
130	не знает	5	2
131	вопрос о	2	2
132	его к	2	2
133	лишь с	2	2
134	лишь как	2	2
135	лишь при	3	2
136	до конца	3	2
137	мы здесь	2	2
138	т.е не	2	2
139	лишь моментом	2	2
140	жизни и	8	2
141	в своем	16	2
142	именно в	5	2
143	рядом с	3	2
144	но для	2	2
145	он и	2	2
146	нет подхода	2	2
147	но как	5	2
148	того или	3	2
149	или как	2	2
150	от этого	2	2
151	его осуществления	2	2
152	в жизни	2	2
153	или иного	3	2
154	будет ли	2	2
155	но не	12	2
156	имеют место	2	2
157	ли это	2	2
158	и потому	2	2
159	должен быть	7	2
160	себя в	8	2
161	акт как	2	2
162	и именно	2	2
163	бы не	3	2
164	а с	2	2
165	еще более	2	2
166	эти моменты	2	2
167	сводится к	2	2
168	что не	3	2
169	и эта	2	2
170	мы не	3	2
171	тем что	3	2
172	вступает в	3	2
173	в виде	2	2
174	бытия в	5	2
175	там где	5	2
176	только с	3	2
177	от него	3	2
178	из него	3	2
179	это было	2	2
