N	3gram	Savitsky_E_1	Psycholo
1	в том что	6	17
2	для того чтобы	5	13
3	с точки зрения	16	10
4	заключается в том	2	10
5	не может быть	2	8
6	на то что	2	6
7	в этом отношении	3	5
8	только в том	2	4
9	в данном случае	2	4
10	так же как	5	4
11	можно было бы	3	4
12	в отношении к	12	3
13	само по себе	4	3
14	по сравнению с	2	2
15	этой точки зрения	5	2
16	в свою очередь	2	2
17	то же время	14	2
18	заключает в себе	3	2
19	тому или иному	2	2
20	бы то ни	4	2
21	во всяком случае	3	2
22	в то же	15	2
23	того или иного	4	2
24	с другой стороны	2	2
