N	2gram	Tiupa_Disk_1	FransuaR
1	и в	16	40
2	то есть	20	18
3	и его	2	17
4	прежде всего	11	16
5	в этом	15	15
6	не только	28	13
7	и не	11	13
8	в его	7	13
9	что в	4	12
10	как и	16	11
11	но и	14	11
12	и т.п	12	10
13	таким образом	3	10
14	как мы	2	10
15	в них	4	9
16	и все	2	9
17	в сущности	2	9
18	может быть	17	9
19	отношение к	4	8
20	в том	23	8
21	в эпоху	5	8
22	и на	5	8
23	но в	8	8
24	в своем	6	7
25	в одном	2	7
26	и др	2	7
27	то же	7	7
28	в виду	2	7
29	к этому	2	6
30	же время	4	6
31	в самом	3	6
32	во всех	5	6
33	в своей	5	6
34	связи с	4	6
35	в то	3	6
36	в литературе	2	5
37	в году	2	5
38	в нем	9	5
39	то что	5	5
40	не было	7	5
41	а не	22	5
42	в основе	7	5
43	в своих	3	5
44	так сказать	2	5
45	в особенности	4	5
46	для него	4	5
47	и во	2	4
48	том что	19	4
49	здесь в	2	4
50	из них	3	4
51	и потому	3	4
52	а также	8	4
53	один из	3	4
54	в культуре	2	4
55	в их	5	4
56	роль в	7	4
57	о том	8	4
58	и о	4	4
59	в данном	5	4
60	и даже	3	4
61	также и	3	4
62	в истории	4	4
63	том числе	2	3
64	с его	4	3
65	в частности	9	3
66	для понимания	2	3
67	и к	4	3
68	об этом	2	3
69	в ее	3	3
70	в начале	2	3
71	в этой	2	3
72	большей или	2	3
73	еще не	14	3
74	и есть	2	3
75	такого рода	4	3
76	как бы	5	3
77	о нем	2	3
78	еще в	3	3
79	что и	3	3
80	дело не	2	3
81	так и	8	3
82	как в	10	3
83	по отношению	9	3
84	не может	9	3
85	а в	5	3
86	в значительной	2	3
87	и как	6	3
88	или меньшей	2	3
89	сказать что	3	3
90	между тем	4	3
91	тем что	3	3
92	при этом	13	3
93	в отличие	5	3
94	они не	2	3
95	в себе	7	3
96	в другом	2	3
97	только в	7	3
98	на протяжении	2	3
99	отличие от	5	3
100	слова в	2	2
101	не менее	2	2
102	уже в	2	2
103	времени и	3	2
104	о чем	2	2
105	чем он	2	2
106	хотя бы	3	2
107	с другой	10	2
108	это не	3	2
109	одного из	2	2
110	это в	2	2
111	что он	4	2
112	или иной	5	2
113	можно сказать	5	2
114	как его	2	2
115	все же	3	2
116	смысл в	2	2
117	основе своей	2	2
118	на этом	2	2
119	но не	11	2
120	например в	2	2
121	на его	4	2
122	значительной степени	2	2
123	свидетельствует о	2	2
124	одним из	2	2
125	той или	3	2
126	в котором	5	2
127	отношению к	9	2
128	в целом	4	2
129	своего рода	8	2
130	они и	3	2
131	данном случае	2	2
132	в форме	2	2
133	именно в	3	2
134	одновременно и	2	2
135	хотя в	2	2
136	лишь в	4	2
137	должны быть	3	2
138	эпохи и	2	2
139	числе и	2	2
140	характер и	2	2
141	потому что	4	2
142	одной из	4	2
143	с этим	3	2
144	точки зрения	3	2
145	наших дней	2	2
146	и ее	2	2
147	но как	2	2
148	далеко не	10	2
149	того же	3	2
