N	2gram	Bakhtin_Fr_7	Narrotol
1	не только	5	26
2	а не	2	17
3	но и	9	15
4	в том	11	14
5	при этом	3	14
6	в качестве	9	14
7	и не	7	14
8	том что	4	13
9	и в	41	13
10	в этом	15	13
11	только в	6	11
12	может быть	4	10
13	в данном	2	10
14	своего рода	2	9
15	к тому	2	9
16	так и	10	9
17	а в	5	9
18	то есть	20	9
19	картина мира	2	8
20	то что	8	8
21	в себе	11	8
22	не может	3	8
23	не в	9	8
24	никогда не	2	6
25	в своем	9	6
26	прежде всего	11	6
27	и к	5	6
28	того что	2	6
29	в его	12	6
30	и т.п	9	6
31	у него	6	6
32	как бы	7	6
33	а также	2	6
34	ничего не	4	6
35	но в	8	6
36	место в	4	5
37	точки зрения	5	5
38	что он	3	5
39	хотя и	4	5
40	он не	4	5
41	я не	3	5
42	в нем	7	5
43	отношению к	2	5
44	как в	5	5
45	в форме	3	5
46	по отношению	2	5
47	таким образом	19	5
48	в той	3	5
49	тем самым	3	5
50	в то	10	5
51	далеко не	2	5
52	о том	6	5
53	перед нами	2	4
54	что это	4	4
55	в конце	8	4
56	в литературе	2	4
57	же в	2	4
58	как и	14	4
59	все что	4	4
60	что в	9	4
61	для него	6	4
62	жизни и	3	4
63	в своей	3	4
64	то же	13	4
65	уже не	2	4
66	в мире	3	4
67	и у	5	4
68	свидетельствует о	2	4
69	и мира	2	4
70	все его	3	4
71	в этой	13	4
72	и т.д	2	4
73	и все	14	4
74	с ним	2	4
75	в себя	2	4
76	мира в	4	4
77	с его	2	3
78	мы имеем	2	3
79	это не	6	3
80	одна из	4	3
81	о котором	2	3
82	же время	9	3
83	о нем	3	3
84	на том	2	3
85	все эти	13	3
86	и по	3	3
87	и для	5	3
88	и его	9	3
89	с ними	3	3
90	этом отношении	2	3
91	которой он	2	3
92	так сказать	3	3
93	мира и	4	3
94	что у	3	2
95	вовсе не	7	2
96	и здесь	4	2
97	в свою	3	2
98	по своему	2	2
99	как о	3	2
100	еще не	2	2
101	было бы	4	2
102	со всеми	2	2
103	во второй	2	2
104	картины мира	4	2
105	несмотря на	3	2
106	интерес к	2	2
107	стать и	2	2
108	все то	3	2
109	все те	2	2
110	оно не	2	2
111	что и	5	2
112	он может	3	2
113	начала и	2	2
114	в процессе	2	2
115	нового времени	3	2
116	только на	2	2
117	именно в	2	2
118	в течение	2	2
119	на самом	2	2
120	с точки	3	2
121	не имеет	3	2
122	так же	5	2
123	той же	3	2
124	роль в	2	2
125	мы не	2	2
126	можно было	3	2
127	в чем	2	2
128	на одном	5	2
129	но это	3	2
130	в результате	2	2
131	в ней	5	2
132	но он	4	2
133	во время	3	2
134	как он	2	2
135	бы в	2	2
136	в каждой	2	2
137	потому что	5	2
138	в области	2	2
139	том как	2	2
