N	2gram	Losev_Dial_2	NovoeSre
1	а не	16	17
2	не может	9	16
3	и в	19	16
4	и не	30	11
5	и есть	4	10
6	что в	7	9
7	жизни и	6	8
8	как не	2	8
9	он не	4	8
10	в том	14	8
11	не будет	2	7
12	культуры и	2	7
13	как и	10	7
14	это есть	8	7
15	в этом	8	7
16	может быть	20	7
17	никогда не	9	6
18	не в	8	6
19	но это	7	6
20	ни в	10	6
21	воля к	2	6
22	в нем	10	5
23	все это	4	5
24	в жизни	2	5
25	с ее	2	5
26	и к	7	5
27	в ней	2	5
28	не только	19	5
29	не менее	3	4
30	то что	14	4
31	это не	10	4
32	не во	2	4
33	и все	12	4
34	не было	3	4
35	должно быть	7	4
36	потому что	14	4
37	по своему	5	4
38	прежде всего	8	4
39	и мы	3	4
40	о том	5	4
41	значит что	12	4
42	и потому	5	4
43	но и	12	3
44	не есть	47	3
45	должна быть	5	3
46	в своей	8	3
47	в истории	2	3
48	с другой	5	3
49	вопрос о	3	3
50	человека и	2	3
51	во всех	2	3
52	и пр	5	3
53	к тому	2	3
54	что такое	3	3
55	в мире	2	3
56	в ее	4	3
57	с тем	2	3
58	конечно не	6	3
59	как в	2	3
60	она не	8	3
61	еще не	4	3
62	за пределы	4	3
63	сказать что	10	3
64	не значит	3	3
65	это было	3	3
66	времени в	2	2
67	времени и	9	2
68	я не	6	2
69	все время	3	2
70	себя в	2	2
71	от религии	2	2
72	вместе с	2	2
73	так и	10	2
74	что она	14	2
75	другой стороны	4	2
76	личность в	2	2
77	и от	3	2
78	мы говорим	3	2
79	а в	4	2
80	я уже	2	2
81	с одной	2	2
82	все эти	2	2
83	в одну	5	2
84	быть в	4	2
85	уже не	3	2
86	зависит от	2	2
87	и даже	14	2
88	хотя бы	4	2
89	но не	6	2
90	так же	2	2
91	это и	3	2
92	время как	7	2
93	том что	10	2
94	в смысле	5	2
95	сама жизнь	2	2
96	но я	3	2
97	связана с	2	2
98	есть в	2	2
99	же как	3	2
100	и с	5	2
101	и что	5	2
102	могут быть	4	2
103	с этим	3	2
104	в себе	15	2
105	в то	6	2
106	как будто	7	2
107	и это	5	2
108	когда мы	3	2
109	как это	7	2
110	и должно	2	2
111	в религии	6	2
112	но в	2	2
