N	3gram	Voloshinov_2	Stilisti
1	в то же	8	9
2	то же время	8	7
3	в зависимости от	2	7
4	для того чтобы	6	7
5	того или иного	2	5
6	мы никогда не	2	5
7	с точки зрения	13	5
8	с самого начала	5	4
9	в свою очередь	5	4
10	то же самое	5	4
11	одно и то	3	4
12	обратное влияние на	2	4
13	и то же	3	4
14	той или иной	4	4
15	внутренней и внешней	2	3
16	как мы видели	3	3
17	как мы уже	3	3
18	на самом деле	4	3
19	но и в	2	3
20	не было бы	2	2
21	смысле этого слова	4	2
22	в значительной степени	2	2
23	к тому что	3	2
24	о том что	3	2
25	в точном смысле	4	2
26	у нас не	2	2
27	точном смысле этого	3	2
28	трением слова о	2	2
29	в связи с	7	2
30	но в то	5	2
31	то же слово	2	2
32	и тем же	2	2
33	о происхождении языка	2	2
34	внутренней речи и	3	2
35	не может быть	10	2
