N	2gram	Vygotskiy__4	Tvorches
1	и в	33	21
2	как бы	25	17
3	в то	3	15
4	в его	10	13
5	то же	9	13
6	что в	21	12
7	как и	5	12
8	же время	2	12
9	то есть	13	12
10	с его	2	11
11	том что	22	11
12	все это	13	10
13	как в	3	8
14	он не	11	8
15	то что	44	8
16	у него	6	7
17	в том	21	7
18	тем самым	3	7
19	при этом	2	7
20	не только	7	7
21	и не	13	7
22	и на	5	7
23	но в	2	7
24	что он	20	6
25	и все	12	6
26	в котором	2	6
27	а в	4	6
28	и его	5	6
29	в этом	28	6
30	о том	20	6
31	вовсе не	5	5
32	а не	6	5
33	может быть	22	5
34	в этой	9	5
35	все же	5	5
36	таким образом	13	5
37	хотя бы	2	5
38	в своих	3	5
39	потому что	24	5
40	как будто	8	5
41	только в	4	5
42	в русской	2	5
43	в своем	7	4
44	та же	3	4
45	прежде всего	2	4
46	в мире	3	4
47	и как	5	4
48	времени и	2	4
49	в целом	5	4
50	один из	2	4
51	в своей	4	4
52	не может	10	4
53	это не	6	4
54	и от	2	4
55	место в	2	3
56	уже в	2	3
57	он видит	3	3
58	самого начала	5	3
59	никогда не	5	3
60	с другой	2	3
61	что все	11	3
62	я не	4	3
63	это в	4	3
64	с ним	5	3
65	не был	2	3
66	говорит о	4	3
67	с ее	3	3
68	это и	5	3
69	с самого	5	3
70	но не	3	3
71	в самом	12	3
72	той же	4	3
73	но если	3	3
74	даже в	2	3
75	в нем	7	3
76	и т	6	3
77	жизни и	4	3
78	не по	2	3
79	но и	3	3
80	ее в	4	3
81	в их	2	3
82	и других	4	3
83	на самом	6	3
84	он говорит	3	3
85	того что	4	3
86	так же	13	3
87	в которой	4	3
88	воли и	2	3
89	и с	2	3
90	в виде	3	3
91	в рассказе	8	3
92	далеко не	3	3
93	представляет собой	2	3
94	так как	12	3
95	ни на	2	3
96	в основе	3	2
97	такой же	2	2
98	перед нами	6	2
99	а как	2	2
100	и та	2	2
101	в частности	4	2
102	эти слова	3	2
103	точно так	3	2
104	в жизни	4	2
105	так вот	2	2
106	к этому	4	2
107	ее и	2	2
108	можно сказать	2	2
109	что и	3	2
110	надо было	2	2
111	что его	3	2
112	об этом	4	2
113	так что	7	2
114	не в	2	2
115	одна из	4	2
116	до конца	7	2
117	в нашей	2	2
118	тот же	3	2
119	из них	4	2
120	к тому	12	2
121	или вот	2	2
122	это означало	3	2
123	некоторые из	2	2
124	в одной	2	2
125	в ней	6	2
126	и когда	2	2
127	был бы	3	2
128	не будет	4	2
129	когда он	7	2
130	вместе с	8	2
131	так и	3	2
132	вслед за	3	2
133	во всей	3	2
134	говорит что	10	2
135	до этого	2	2
136	что для	5	2
137	именно в	2	2
138	в двух	4	2
139	что она	10	2
140	здесь мы	3	2
141	самом деле	12	2
142	что не	4	2
143	и наконец	2	2
144	за то	3	2
145	и он	3	2
146	только что	15	2
147	сказать что	13	2
148	больше чем	2	2
149	но он	6	2
150	это время	2	2
151	в себе	6	2
152	т п	3	2
153	с офицером	4	2
154	при помощи	4	2
155	героя и	2	2
156	не то	4	2
157	нет ни	3	2
158	в виду	2	2
