N	2gram	Bakhtin_KF_1	Mirosoze
1	может быть	45	30
2	не только	5	29
3	и в	24	28
4	не может	27	28
5	но и	9	25
6	а не	17	25
7	он не	6	24
8	в этом	14	20
9	не было	8	18
10	не в	12	16
11	потому что	2	16
12	в ней	3	15
13	в своей	10	15
14	и есть	9	14
15	никогда не	5	14
16	до конца	3	14
17	в нем	28	13
18	и это	12	12
19	для него	8	11
20	и не	26	11
21	что в	4	10
22	в своем	16	10
23	в мире	6	10
24	был бы	3	10
25	прежде всего	2	10
26	и все	7	10
27	человек не	2	10
28	что он	2	10
29	было бы	8	10
30	и потому	2	10
31	с тем	2	9
32	в его	40	9
33	не есть	20	9
34	и его	17	9
35	есть лишь	5	9
36	но не	12	8
37	в котором	24	8
38	того что	3	7
39	но в	5	7
40	менее всего	6	7
41	к нему	12	7
42	в себе	21	7
43	должна быть	4	6
44	в том	6	6
45	в этой	2	6
46	все это	10	6
47	лишь в	8	6
48	и на	3	6
49	только в	16	6
50	это не	10	5
51	и я	5	5
52	мира и	4	5
53	как и	5	5
54	то что	7	5
55	что есть	2	5
56	нет и	3	5
57	не знает	5	4
58	нет в	4	4
59	отношение к	5	4
60	в их	8	4
61	а в	4	4
62	точки зрения	12	4
63	и этот	3	4
64	не как	4	4
65	один из	2	4
66	это и	2	4
67	от него	3	4
68	что и	7	4
69	уже не	7	4
70	тем что	3	4
71	себя и	2	3
72	мира не	3	3
73	для нас	4	3
74	это есть	2	3
75	на своем	3	3
76	этого мира	3	3
77	в него	2	3
78	и их	6	3
79	не имеет	5	3
80	должно быть	6	3
81	мир в	11	3
82	в момент	3	3
83	его в	5	3
84	в жизни	2	3
85	в ее	16	3
86	том что	4	3
87	ничего не	3	3
88	конечно не	7	3
89	себя в	8	3
90	бы и	3	3
91	хотя бы	4	3
92	может не	2	2
93	место в	5	2
94	по своему	3	2
95	и мир	2	2
96	вопрос о	2	2
97	момент в	7	2
98	его как	5	2
99	в свою	3	2
100	лишь момент	5	2
101	для того	3	2
102	и мы	2	2
103	бытия но	4	2
104	он ни	2	2
105	в виду	3	2
106	себе и	3	2
107	его с	2	2
108	под ним	2	2
109	которой все	2	2
110	жизни и	8	2
111	могут быть	3	2
112	по отношению	26	2
113	быть не	2	2
114	все эти	10	2
115	философии но	2	2
116	людей и	2	2
117	он и	2	2
118	проникает в	5	2
119	как бы	9	2
120	о том	3	2
121	не значит	6	2
122	с ним	5	2
123	в основе	5	2
124	а как	2	2
125	если бы	8	2
126	жизни в	5	2
127	к этому	2	2
128	этот мир	2	2
129	отношению к	22	2
130	в то	3	2
131	и когда	2	2
132	о нем	4	2
133	должен быть	7	2
134	все же	5	2
135	не остается	2	2
136	как в	2	2
137	входит в	3	2
138	бы не	3	2
139	чтобы не	2	2
140	и она	2	2
141	того чтобы	2	2
142	к чему	3	2
143	и как	2	2
144	и для	9	2
145	от этого	2	2
146	в каком	4	2
147	от его	5	2
148	отношении к	2	2
149	смысле в	2	2
