N	3gram	Tiupa_Anal_1	Marksizm
1	с точки зрения	4	13
2	не может быть	16	10
3	то же время	6	8
4	в то же	8	8
5	по отношению к	5	8
6	в том что	9	6
7	для того чтобы	3	6
8	в самом деле	2	5
9	то же самое	2	5
10	но в то	2	5
11	и того же	2	4
12	той или иной	6	4
13	одного и того	2	4
14	то ни было	3	4
15	бы то ни	3	4
16	в той или	3	3
17	в таком случае	3	3
18	с одной стороны	3	3
19	о том что	3	3
20	в отличие от	6	3
21	и не может	4	3
22	и не в	4	3
23	какой бы то	2	2
24	том что он	2	2
25	ни в коем	2	2
26	того или иного	3	2
27	к тому же	4	2
28	а не в	3	2
29	но и в	2	2
30	в коем случае	2	2
