N	2gram	Losev_Dial_1	KFilosof
1	может быть	17	43
2	в его	3	39
3	в нем	16	31
4	не может	12	27
5	и не	30	26
6	и в	18	22
7	в котором	4	21
8	в себе	11	21
9	для меня	4	20
10	не есть	40	19
11	а не	14	17
12	только в	3	16
13	точки зрения	17	13
14	в этом	12	13
15	ни в	15	12
16	для него	2	12
17	но не	4	12
18	и это	2	12
19	все эти	2	11
20	в своей	2	11
21	не в	6	11
22	к нему	8	11
23	в своем	5	10
24	это не	9	10
25	все это	11	10
26	с точки	12	10
27	и есть	16	9
28	но и	7	9
29	в их	3	9
30	как бы	11	9
31	и все	3	9
32	для нее	2	9
33	и для	2	9
34	не было	6	8
35	если бы	12	8
36	было бы	12	8
37	жизни и	3	8
38	со стороны	2	8
39	во всем	2	7
40	вовсе не	7	7
41	конечно не	3	7
42	что и	3	7
43	то что	13	7
44	я не	5	6
45	в том	9	6
46	но это	8	6
47	отношение к	5	6
48	смысл и	4	6
49	в мире	2	6
50	но лишь	4	6
51	отнюдь не	9	6
52	совершенно не	8	6
53	и их	2	6
54	он не	3	6
55	не значит	3	6
56	уже не	2	6
57	никогда не	9	5
58	хотя бы	6	5
59	но эта	3	5
60	то же	10	5
61	но все	3	5
62	именно в	2	5
63	не имеет	15	5
64	должно быть	3	5
65	в основе	3	5
66	но как	2	5
67	с ним	6	5
68	но в	6	5
69	не знает	2	5
70	как и	2	5
71	что я	3	5
72	я могу	2	5
73	не только	13	5
74	все же	5	5
75	мы имеем	2	5
76	ко всему	2	5
77	что в	13	4
78	ни было	2	4
79	к ним	2	4
80	с ними	2	4
81	нисколько не	4	4
82	не как	2	4
83	быть в	2	4
84	том что	9	4
85	только как	2	4
86	а в	5	4
87	в каком	8	4
88	в чем	6	4
89	а лишь	3	3
90	бы и	2	3
91	должна быть	3	3
92	что это	11	3
93	не менее	2	3
94	в каждом	2	3
95	лишь как	2	3
96	и пр	5	3
97	в виду	5	3
98	себе и	2	3
99	в корне	2	3
100	того что	2	3
101	и совершенно	2	3
102	в ней	3	3
103	в то	6	3
104	о том	4	3
105	и ни	6	3
106	всех этих	3	3
107	сознания и	3	3
108	этом смысле	3	3
109	ясно что	8	3
110	но конечно	2	3
111	от него	4	3
112	могла бы	2	3
113	еще не	2	3
114	не могу	4	3
115	в современной	2	3
116	быть и	4	3
117	на самом	3	3
118	самом деле	3	3
119	для того	2	3
120	только с	3	3
121	что не	7	3
122	могут быть	3	3
123	в другом	2	3
124	и жизни	4	3
125	ничего не	17	3
126	или иное	3	2
127	а с	2	2
128	та же	3	2
129	прежде всего	10	2
130	вопрос о	2	2
131	или иной	3	2
132	себе а	2	2
133	и как	7	2
134	это есть	9	2
135	на нем	2	2
136	же время	4	2
137	и мы	5	2
138	не о	4	2
139	в него	2	2
140	его с	3	2
141	по себе	25	2
142	тому что	3	2
143	для этого	2	2
144	потому что	14	2
145	может иметь	3	2
146	он и	2	2
147	той или	7	2
148	говорить о	5	2
149	значило бы	2	2
150	пространства и	2	2
151	в сознании	3	2
152	были бы	2	2
153	ни к	2	2
154	и то	9	2
155	что эта	4	2
156	раз и	2	2
157	к этому	2	2
158	думать что	3	2
159	что он	11	2
160	при условии	3	2
161	в качестве	2	2
162	не нужно	2	2
163	ли это	3	2
164	и может	2	2
165	но есть	2	2
166	и потому	3	2
167	и смысл	3	2
168	вес и	2	2
169	дело не	2	2
170	так и	9	2
171	как в	2	2
172	в виде	2	2
173	еще более	3	2
174	это и	4	2
175	чтобы не	2	2
176	и эта	2	2
177	то или	3	2
178	жизнь и	3	2
179	в данном	3	2
180	и та	3	2
181	от этого	3	2
182	ничего общего	4	2
183	отношении к	3	2
