N	2gram	Bakhtin_Pr_1	Mirosoze
1	и в	38	46
2	в нем	15	22
3	может быть	26	21
4	в этом	15	20
5	никогда не	5	18
6	и не	42	18
7	не только	9	18
8	есть лишь	3	17
9	но и	9	15
10	не может	27	15
11	человека в	2	14
12	как и	7	13
13	не есть	6	13
14	а не	5	13
15	прежде всего	13	12
16	не было	2	11
17	в ней	4	11
18	у нас	2	11
19	и он	2	11
20	но в	4	10
21	он не	3	10
22	в себе	4	10
23	не в	7	9
24	не знает	3	9
25	и есть	2	8
26	но это	3	8
27	как бы	22	8
28	в своем	5	8
29	отношение к	10	8
30	она не	2	8
31	в мире	3	7
32	в нашем	4	7
33	что он	2	7
34	и к	3	7
35	ивана карамазова	2	7
36	и потому	4	7
37	как в	4	7
38	хотя бы	4	7
39	и для	11	7
40	что это	2	6
41	того что	2	6
42	и здесь	2	6
43	то же	5	5
44	я не	2	5
45	что все	2	5
46	в самом	7	5
47	это не	5	5
48	и все	3	5
49	есть не	2	5
50	во всем	2	5
51	то что	8	5
52	в своей	7	5
53	для того	2	5
54	и его	16	5
55	в его	43	5
56	и это	3	5
57	что в	7	4
58	все что	3	4
59	они не	3	4
60	не имеет	9	4
61	должны быть	4	4
62	также и	3	4
63	с его	2	4
64	в свою	2	4
65	том что	3	4
66	должен быть	2	4
67	что и	2	4
68	себя в	2	4
69	так и	5	4
70	того чтобы	2	4
71	к чему	2	4
72	вопроса о	3	4
73	человек в	2	3
74	себя и	3	3
75	и от	3	3
76	в каждом	2	3
77	ни в	11	3
78	в том	8	3
79	лишь как	4	3
80	высшей степени	5	3
81	с самим	2	3
82	смысле слова	2	3
83	менее всего	3	3
84	в своих	2	3
85	и на	3	3
86	сказать что	4	3
87	и с	17	3
88	о том	4	3
89	его в	9	3
90	в высшей	5	3
91	в россии	2	3
92	с ним	5	3
93	и должно	3	3
94	к которому	4	3
95	если бы	3	3
96	в них	5	3
97	и во	2	3
98	на почве	3	3
99	тем что	2	3
100	только в	13	3
101	в чем	2	3
102	место в	8	2
103	а лишь	2	2
104	в этих	2	2
105	и мир	2	2
106	не всегда	6	2
107	есть выражение	2	2
108	или иной	2	2
109	да и	3	2
110	лишь момент	3	2
111	хотя и	3	2
112	к нему	10	2
113	не к	6	2
114	но она	2	2
115	не имеют	2	2
116	по отношению	21	2
117	как к	2	2
118	отношения к	6	2
119	чем не	2	2
120	и других	2	2
121	лишь в	2	2
122	должно быть	5	2
123	его не	2	2
124	а в	6	2
125	и те	2	2
126	к себе	2	2
127	в более	4	2
128	в основе	5	2
129	точки зрения	8	2
130	самим собою	2	2
131	между тем	7	2
132	на этом	2	2
133	связи с	2	2
134	чем в	2	2
135	и что	2	2
136	мы увидим	3	2
137	во всех	11	2
138	оно не	3	2
139	отношению к	19	2
140	момент его	2	2
141	бы не	2	2
142	но с	3	2
143	к своему	2	2
144	что не	4	2
145	и эта	2	2
146	можно было	4	2
147	души и	2	2
148	и этим	6	2
149	направленной на	4	2
150	ничего не	6	2
