N	2gram	Trubetskoy_1	KFilosof
1	может быть	9	43
2	в его	4	39
3	в нем	5	31
4	не может	22	27
5	и не	19	26
6	по отношению	2	25
7	и в	14	22
8	в котором	2	21
9	в себе	9	21
10	не есть	3	19
11	а не	2	17
12	только в	5	16
13	точки зрения	11	13
14	в этом	17	13
15	ни в	2	12
16	для него	6	12
17	но не	4	12
18	все эти	2	11
19	в своей	5	11
20	не в	4	11
21	к нему	2	11
22	в своем	6	10
23	все это	6	10
24	во всех	5	10
25	с точки	9	10
26	и есть	2	9
27	но и	10	9
28	в их	4	9
29	как бы	4	9
30	для нее	2	9
31	и для	6	9
32	не было	3	8
33	лишь в	3	8
34	если бы	6	8
35	было бы	5	8
36	жизни и	4	8
37	со стороны	4	8
38	во всем	4	7
39	конечно не	5	7
40	что и	3	7
41	то что	13	7
42	себя в	4	7
43	в том	17	6
44	но это	2	6
45	и только	5	6
46	в мире	4	6
47	отнюдь не	7	6
48	совершенно не	2	6
49	он не	5	6
50	уже не	2	6
51	никогда не	5	5
52	хотя бы	5	5
53	то же	11	5
54	именно в	3	5
55	от своей	2	5
56	должно быть	3	5
57	его в	4	5
58	с ним	2	5
59	но в	2	5
60	жизни в	5	5
61	как и	4	5
62	не только	9	5
63	для себя	2	5
64	все же	4	5
65	место в	2	4
66	что в	4	4
67	для нас	2	4
68	при этом	5	4
69	в своих	6	4
70	между тем	5	4
71	нисколько не	2	4
72	том что	9	4
73	а в	5	4
74	тем самым	2	4
75	и т.д	4	4
76	а лишь	4	3
77	должна быть	2	3
78	что это	3	3
79	лишь при	5	3
80	себе и	4	3
81	и тем	2	3
82	в корне	4	3
83	от того	4	3
84	того что	3	3
85	и на	5	3
86	людей и	2	3
87	в ней	2	3
88	в то	10	3
89	того или	2	3
90	о том	7	3
91	и ни	3	3
92	всех этих	3	3
93	тогда когда	4	3
94	а следовательно	3	3
95	ясно что	2	3
96	или иного	2	3
97	не должен	2	3
98	от него	2	3
99	еще не	3	3
100	и этот	3	3
101	быть и	2	3
102	на самом	6	3
103	культуры и	2	3
104	самом деле	7	3
105	для того	6	3
106	только с	2	3
107	к чему	2	3
108	тем что	3	3
109	в другом	3	3
110	может не	3	2
111	а с	2	2
112	можно ли	3	2
113	его и	2	2
114	то ни	4	2
115	прежде всего	8	2
116	вопрос о	5	2
117	или иной	5	2
118	к которой	6	2
119	и как	3	2
120	это есть	2	2
121	же время	10	2
122	но для	2	2
123	не о	2	2
124	себя и	5	2
125	вся эта	2	2
126	по себе	2	2
127	тому что	2	2
128	для этого	3	2
129	именно на	2	2
130	отказаться от	4	2
131	потому что	5	2
132	к себе	2	2
133	той или	3	2
134	говорить о	3	2
135	значило бы	2	2
136	себя как	2	2
137	в сознании	3	2
138	были бы	2	2
139	в единое	2	2
140	что только	2	2
141	ни к	7	2
142	и то	4	2
143	с тем	6	2
144	что он	6	2
145	при условии	3	2
146	во главе	2	2
147	будет ли	2	2
148	не будет	7	2
149	бы то	4	2
150	в качестве	3	2
151	ли это	4	2
152	и тот	2	2
153	ни одна	3	2
154	и потому	3	2
155	это только	2	2
156	в виде	3	2
157	если не	2	2
158	сводится к	3	2
159	того чтобы	8	2
160	в данном	7	2
161	в этой	4	2
162	которой он	4	2
163	отношении к	2	2
164	в области	2	2
