N	3gram	Vinokur_Ku_2	EvropaiE
1	с точки зрения	8	16
2	в то же	3	15
3	то же время	3	14
4	в том что	10	6
5	так же как	2	5
6	этой точки зрения	2	5
7	с этой точки	2	5
8	для того чтобы	8	5
9	не только в	4	4
10	само по себе	5	4
11	того или иного	2	4
12	можно было бы	9	3
13	можно сказать что	2	3
14	хотя бы и	2	3
15	в этом отношении	3	3
16	во всяком случае	5	3
17	в этом смысле	5	3
18	в свою очередь	2	2
19	по себе не	2	2
20	на то что	2	2
21	только в том	2	2
22	с другой стороны	7	2
23	не говоря уже	2	2
24	не может быть	4	2
