N	2gram	Tiupa_Narr_1	Vladivir
1	и в	19	30
2	то что	11	20
3	в этом	17	20
4	у него	4	19
5	в том	18	18
6	и не	20	18
7	и с	4	14
8	что он	6	13
9	том что	14	12
10	что в	3	12
11	не только	32	12
12	в его	9	11
13	а в	11	11
14	как мы	3	11
15	сказать что	4	11
16	а также	7	10
17	и даже	3	10
18	не было	2	10
19	не в	14	9
20	для него	2	9
21	было бы	4	9
22	все же	7	9
23	не может	10	9
24	в то	3	9
25	связи с	4	8
26	в своем	2	8
27	но и	23	8
28	в связи	2	8
29	не мог	4	8
30	но в	6	8
31	не менее	3	7
32	никогда не	3	7
33	точки зрения	10	7
34	и все	2	7
35	ни в	3	7
36	может быть	25	7
37	а не	12	7
38	как это	6	7
39	то есть	19	7
40	хотя и	3	6
41	прежде всего	4	6
42	тем не	3	6
43	только в	4	6
44	его жизни	2	6
45	в себе	8	6
46	жизни и	3	6
47	а именно	3	6
48	и его	5	6
49	о чем	2	6
50	по себе	5	5
51	как и	7	5
52	то в	6	5
53	при этом	9	5
54	он уже	2	5
55	как бы	4	5
56	так и	9	5
57	в результате	2	5
58	все эти	2	5
59	с его	6	4
60	именно в	6	4
61	после смерти	2	4
62	его в	2	4
63	можно сказать	5	4
64	в этой	5	4
65	что это	3	4
66	несмотря на	2	4
67	в ней	3	4
68	он не	3	4
69	в нем	4	4
70	не есть	3	4
71	время в	2	4
72	со стороны	9	4
73	то же	4	4
74	и он	3	4
75	так же	2	4
76	и на	3	4
77	о том	6	4
78	здесь не	4	4
79	отношение к	2	4
80	уже в	3	3
81	хотя бы	4	3
82	из этих	3	3
83	точно так	2	3
84	что касается	2	3
85	же время	4	3
86	в свою	3	3
87	да и	4	3
88	по существу	2	3
89	и как	5	3
90	тем более	2	3
91	более или	2	3
92	но не	5	3
93	в данном	5	3
94	и для	2	3
95	вплоть до	2	3
96	так или	2	3
97	с точки	2	3
98	или менее	2	3
99	как в	7	3
100	в отличие	5	3
101	отношения к	2	3
102	те же	4	3
103	уже не	5	3
104	наконец в	2	3
105	отличие от	5	3
106	в таком	2	3
107	или иначе	3	3
108	не столько	4	3
109	когда мы	2	3
110	в области	2	3
111	не то	2	3
112	к нему	5	2
113	он сам	2	2
114	однако в	2	2
115	жизни в	3	2
116	это не	2	2
117	если не	4	2
118	к тому	7	2
119	на первый	2	2
120	ему в	2	2
121	же в	4	2
122	свою очередь	3	2
123	она не	2	2
124	во второй	2	2
125	такого рода	7	2
126	в сущности	3	2
127	в будущем	2	2
128	в частности	14	2
129	некоторого рода	2	2
130	и потому	2	2
131	о нем	4	2
132	будто бы	3	2
133	даже в	2	2
134	не имеет	2	2
135	себя в	5	2
136	наряду с	2	2
137	и до	2	2
138	бытия в	3	2
139	данном случае	4	2
140	в последние	2	2
141	не на	2	2
142	как к	2	2
143	но все	4	2
144	в двух	2	2
145	в той	6	2
146	что не	4	2
147	он прямо	2	2
148	можно было	2	2
149	приходит к	2	2
150	не о	3	2
151	как будто	3	2
152	ничего не	2	2
