N	2gram	Vinokur_St_3	KulturaY
1	т е	8	38
2	и т	8	33
3	в том	20	30
4	и в	25	24
5	потому что	5	23
6	том что	15	21
7	т п	6	18
8	что в	19	17
9	для того	2	16
10	и пр	13	15
11	было бы	7	15
12	т д	2	14
13	в этом	24	14
14	точки зрения	7	14
15	может быть	19	13
16	все же	4	12
17	таким образом	10	12
18	в его	12	12
19	и не	10	12
20	не в	6	11
21	только в	6	11
22	вовсе не	2	10
23	в самом	2	10
24	у нас	4	10
25	не только	12	10
26	если бы	4	9
27	то что	12	9
28	прежде всего	10	9
29	самом деле	2	9
30	того что	5	9
31	с точки	4	9
32	о том	8	9
33	так как	3	9
34	том чтобы	2	8
35	в языке	8	8
36	то же	5	8
37	то обстоятельство	5	8
38	уже не	3	8
39	а не	5	8
40	как раз	3	8
41	тем что	19	8
42	обстоятельство что	5	8
43	не менее	2	7
44	в них	5	7
45	с другой	5	7
46	связи с	3	7
47	в качестве	4	7
48	как бы	6	7
49	вместе с	2	7
50	не может	7	7
51	это не	7	7
52	в области	6	7
53	так и	5	7
54	в какой	3	6
55	тогда когда	2	6
56	что он	19	6
57	на себе	2	6
58	что такое	7	6
59	в ней	4	6
60	но и	9	6
61	все это	8	6
62	другой стороны	5	6
63	все эти	3	6
64	в которых	2	6
65	мы имеем	5	6
66	этого рода	3	6
67	в которой	4	6
68	с тем	4	5
69	что это	16	5
70	по крайней	4	5
71	к тому	2	5
72	крайней мере	4	5
73	но не	2	5
74	еще не	2	5
75	что не	2	5
76	например в	4	5
77	всяком случае	4	5
78	и что	3	5
79	этом отношении	4	5
80	в виду	2	5
81	не просто	2	5
82	а потому	2	5
83	не потому	2	5
84	а в	6	5
85	и его	3	5
86	в результате	2	5
87	во всяком	4	5
88	между тем	6	5
89	xix века	4	5
90	так сказать	2	5
91	и с	4	5
92	в рамках	2	4
93	с его	3	4
94	в этих	11	4
95	что эти	4	4
96	на то	5	4
97	что они	2	4
98	есть в	2	4
99	разумеется не	2	4
100	того же	2	4
101	языка это	2	4
102	на язык	3	4
103	один из	2	4
104	должен быть	2	4
105	тем не	2	4
106	в целом	4	4
107	сих пор	2	4
108	со стороны	3	4
109	до сих	2	4
110	как в	6	4
111	и тогда	2	4
112	внимание на	2	4
113	не на	2	4
114	с этим	7	4
115	так что	11	4
116	и на	6	4
117	из этих	6	4
118	в русском	2	4
119	уже в	3	3
120	как на	6	3
121	состоит в	4	3
122	для этого	2	3
123	на долю	2	3
124	в духе	2	3
125	этом смысле	4	3
126	была бы	4	3
127	его к	2	3
128	или иной	2	3
129	можно сказать	4	3
130	в г	12	3
131	только тогда	2	3
132	в этой	14	3
133	в свою	2	3
134	связано с	5	3
135	и может	2	3
136	в общем	4	3
137	и если	3	3
138	гораздо более	2	3
139	в сущности	2	3
140	это слово	3	3
141	а а	6	3
142	этого слова	2	3
143	слова как	2	3
144	в котором	5	3
145	на его	4	3
146	тому что	3	3
147	в связи	3	3
148	в особенности	4	3
149	а с	2	3
150	не было	4	3
151	в их	3	3
152	в системе	3	3
153	несмотря на	3	3
154	той же	2	3
155	несколько слов	2	3
156	и здесь	3	3
157	в речи	4	3
158	к которому	3	3
159	и более	3	2
160	никогда не	2	2
161	с этой	3	2
162	не является	3	2
163	что касается	7	2
164	что все	3	2
165	в каждом	4	2
166	в смысле	4	2
167	в то	7	2
168	как о	2	2
169	что его	2	2
170	как и	4	2
171	но все	2	2
172	это есть	4	2
173	что если	2	2
174	а то	2	2
175	в последнем	2	2
176	формы в	2	2
177	же время	3	2
178	в это	2	2
179	между прочим	3	2
180	в своей	4	2
181	в ряде	2	2
182	между собою	2	2
183	именно поэтому	2	2
184	относится к	4	2
185	речь идет	2	2
186	если в	2	2
187	тем более	3	2
188	и тем	4	2
189	ее в	2	2
190	ни в	5	2
191	дело не	2	2
192	к г	2	2
193	ср также	2	2
194	чтобы в	2	2
195	думаю что	2	2
196	то и	2	2
197	как например	8	2
198	он не	5	2
199	и для	4	2
200	как я	2	2
201	ряде случаев	2	2
202	этого термина	2	2
203	не мог	2	2
204	лишь в	4	2
205	во втором	2	2
206	не имеет	2	2
207	другое дело	3	2
208	что нужно	2	2
209	во многих	2	2
210	или в	2	2
211	не столько	2	2
212	ср в	3	2
213	одно из	2	2
214	в каком	4	2
215	что я	3	2
216	пушкин и	3	2
217	заключается в	2	2
218	здесь только	2	2
219	большое значение	2	2
220	до конца	3	2
221	ничего не	4	2
222	но в	5	2
223	своего времени	2	2
224	но также	2	2
225	это было	8	2
