N	2gram	Berdyaev_M_2	Komedia
1	и в	46	22
2	т е	4	13
3	том что	4	12
4	в том	3	11
5	но и	15	11
6	не только	18	10
7	как и	13	9
8	может быть	21	9
9	и не	18	8
10	и его	5	8
11	о том	3	8
12	в этой	7	7
13	и других	2	7
14	что в	4	6
15	в отношении	5	6
16	в конце	5	6
17	что он	7	6
18	к тому	5	6
19	ни в	3	6
20	такого рода	2	6
21	то же	5	6
22	не в	9	6
23	а в	2	6
24	в которой	2	6
25	уже в	2	5
26	прежде всего	12	5
27	со своим	2	5
28	в его	5	5
29	еще в	2	5
30	один из	5	5
31	на его	2	5
32	так и	4	5
33	как в	7	5
34	потому что	12	5
35	между тем	2	5
36	что они	3	4
37	в нем	22	4
38	что и	4	4
39	тем что	3	4
40	и вот	5	4
41	точки зрения	2	4
42	так как	8	4
43	но в	10	4
44	место в	2	3
45	же как	3	3
46	в них	3	3
47	в образе	3	3
48	вопрос о	6	3
49	у нас	11	3
50	после того	2	3
51	тот же	2	3
52	у него	22	3
53	да и	2	3
54	хотя и	2	3
55	он не	10	3
56	отношению к	2	3
57	отношение к	8	3
58	так же	6	3
59	по отношению	2	3
60	того как	3	3
61	не мог	3	3
62	и на	3	3
63	в более	2	3
64	в этом	20	3
65	и с	3	3
66	только в	3	3
67	и все	5	3
68	его в	3	3
69	в чем	3	3
70	ничего не	2	3
71	к которому	3	3
72	и здесь	6	2
73	и во	3	2
74	и мир	2	2
75	на все	3	2
76	в свою	4	2
77	и можно	3	2
78	он был	9	2
79	на этом	2	2
80	совсем не	5	2
81	до конца	4	2
82	до сих	3	2
83	в действительности	2	2
84	в самом	5	2
85	и самого	3	2
86	то что	5	2
87	не к	2	2
88	вместе с	2	2
89	ее в	2	2
90	все что	4	2
91	для этого	4	2
92	в сущности	2	2
93	не может	15	2
94	принадлежит к	2	2
95	что у	4	2
96	к нему	2	2
97	правда в	2	2
98	нас в	2	2
99	но это	8	2
100	в трагедии	3	2
101	к ней	2	2
102	но он	11	2
103	в своих	3	2
104	в себе	10	2
105	по своей	3	2
106	как будто	2	2
107	е в	2	2
108	сих пор	3	2
