N	3gram	Potebnia_M_2	KulturaY
1	и т п	3	18
2	в том что	7	15
3	для того чтобы	2	15
4	и т д	3	14
5	только потому что	2	6
6	с другой стороны	2	6
7	по крайней мере	5	5
8	во всяком случае	7	5
9	до сих пор	4	4
10	не в том	2	4
11	тем не менее	5	4
12	по мере того	4	3
13	мере того как	4	3
14	в свою очередь	6	3
15	более или менее	8	3
16	не может быть	2	3
17	в этом смысле	2	3
18	и тогда когда	2	3
19	и того же	6	2
20	то же время	2	2
21	одного и того	6	2
22	то же в	2	2
23	так и в	2	2
24	на то что	3	2
25	в то же	2	2
26	на самом деле	2	2
27	того что они	2	2
