N	2gram	Propp_Russ_2	KFilosof
1	может быть	13	43
2	не может	5	27
3	и в	29	22
4	в котором	3	21
5	в ее	3	17
6	а не	4	17
7	в этом	11	13
8	но не	5	12
9	все эти	3	11
10	в своей	2	11
11	не в	4	11
12	к нему	4	11
13	это не	5	10
14	все это	10	10
15	во всех	3	10
16	но и	8	9
17	в их	2	9
18	как бы	18	9
19	и все	4	9
20	и для	2	9
21	не было	2	8
22	было бы	3	8
23	во всем	2	7
24	должен быть	2	7
25	что и	2	7
26	то что	5	7
27	быть только	2	7
28	в том	22	6
29	совершенно не	2	6
30	уже не	4	6
31	никогда не	2	5
32	ее и	2	5
33	то же	4	5
34	именно в	4	5
35	не имеет	3	5
36	должно быть	2	5
37	его в	8	5
38	но в	5	5
39	жизни в	2	5
40	как и	11	5
41	не только	10	5
42	все же	2	5
43	мы имеем	6	5
44	там где	2	5
45	что в	22	4
46	для нас	6	4
47	здесь мы	2	4
48	при этом	6	4
49	в своих	2	4
50	между тем	3	4
51	том что	22	4
52	только как	2	4
53	а в	9	4
54	что это	3	3
55	не менее	2	3
56	до конца	3	3
57	и пр	2	3
58	в виду	2	3
59	того что	3	3
60	и на	6	3
61	людей и	2	3
62	в то	2	3
63	о том	9	3
64	мы не	6	3
65	тогда когда	4	3
66	еще не	6	3
67	но можно	2	3
68	на самом	2	3
69	для того	6	3
70	тем что	3	3
71	могут быть	2	3
72	в момент	2	3
73	а с	2	2
74	та же	2	2
75	прежде всего	2	2
76	вопрос о	4	2
77	тем не	2	2
78	и как	2	2
79	совсем не	2	2
80	нечто вроде	2	2
81	вокруг него	2	2
82	в него	2	2
83	под ним	2	2
84	вся эта	2	2
85	для этого	5	2
86	и других	3	2
87	для этой	3	2
88	ее от	2	2
89	потому что	5	2
90	и под	3	2
91	и то	2	2
92	с тем	6	2
93	из нее	2	2
94	к этому	5	2
95	в качестве	3	2
96	дело не	2	2
97	как в	7	2
98	в виде	4	2
99	это и	2	2
100	мы здесь	2	2
101	того чтобы	6	2
102	жизнь и	2	2
103	в данном	6	2
104	в этой	3	2
105	как оно	2	2
