N	2gram	Losev_Prob_5	Narrotol
1	не только	18	32
2	может быть	7	25
3	но и	13	23
4	в качестве	4	21
5	и не	12	20
6	и в	30	19
7	то есть	21	19
8	в том	12	18
9	в этом	17	17
10	в частности	4	14
11	том что	17	14
12	не в	7	14
13	а не	5	12
14	то что	18	11
15	а в	6	11
16	не может	5	10
17	точки зрения	10	10
18	при этом	4	9
19	так и	7	9
20	в его	12	9
21	с другой	6	8
22	в себе	4	8
23	как и	7	7
24	еще не	3	7
25	к тому	2	7
26	такого рода	2	7
27	а также	3	7
28	все же	9	7
29	как в	2	7
30	по отношению	2	7
31	с одной	3	7
32	одной стороны	3	7
33	том числе	2	6
34	что он	7	6
35	отношению к	2	6
36	но не	7	6
37	именно в	3	6
38	о том	12	6
39	но в	9	6
40	и как	6	5
41	отнюдь не	4	5
42	по себе	2	5
43	можно сказать	6	5
44	в шмида	3	5
45	не все	2	5
46	уже не	6	5
47	к нему	3	5
48	и его	6	5
49	в данном	2	5
50	в этой	10	5
51	далеко не	4	5
52	мира в	3	5
53	во втором	2	4
54	прежде всего	6	4
55	в нем	6	4
56	у него	11	4
57	что не	2	4
58	то же	2	4
59	же в	3	4
60	да и	2	4
61	но все	4	4
62	в силу	5	4
63	если не	4	4
64	было бы	4	4
65	связи с	7	4
66	вслед за	2	4
67	как бы	6	4
68	и тем	3	4
69	хотя бы	2	4
70	данном случае	2	4
71	другой стороны	6	4
72	не мог	4	4
73	сказать что	9	4
74	только в	9	4
75	здесь не	7	4
76	и с	5	4
77	же не	4	4
78	не менее	5	3
79	по мысли	2	3
80	а с	4	3
81	жизни в	4	3
82	что в	5	3
83	никогда не	7	3
84	уже в	2	3
85	в свою	2	3
86	тем не	5	3
87	ни в	4	3
88	что они	3	3
89	хотя и	8	3
90	в ней	3	3
91	он не	3	3
92	и самого	3	3
93	и даже	14	3
94	один из	2	3
95	не будет	2	3
96	бы то	2	3
97	из них	2	3
98	жизни и	2	3
99	когда он	2	3
100	в ее	3	3
101	на него	2	3
102	а именно	12	3
103	то ни	2	3
104	как мы	2	3
105	и он	4	3
106	и на	6	3
107	будто бы	5	3
108	между тем	2	3
109	тем что	2	3
110	по своей	2	3
111	в то	4	3
112	как будто	3	3
113	бы не	3	2
114	он сам	3	2
115	в своем	11	2
116	что у	5	2
117	в какой	2	2
118	в противоположность	3	2
119	точно так	3	2
120	не всегда	3	2
121	что именно	2	2
122	и сейчас	2	2
123	что иное	3	2
124	говорит о	7	2
125	по существу	2	2
126	есть в	2	2
127	в значительной	2	2
128	и после	3	2
129	не что	3	2
130	несмотря на	6	2
131	наряду с	2	2
132	некоторого рода	4	2
133	в роли	2	2
134	нет у	2	2
135	и до	2	2
136	который в	9	2
137	отношение к	2	2
138	так же	5	2
139	как раз	5	2
140	в связи	7	2
141	и только	2	2
142	все эти	2	2
143	они не	2	2
144	самом деле	2	2
145	и для	6	2
146	с точки	8	2
147	при всем	2	2
148	это не	2	2
149	в таком	2	2
150	или в	4	2
151	можно было	2	2
152	в результате	7	2
153	нового времени	4	2
154	однако в	3	2
155	не то	2	2
156	что касается	3	2
157	всей своей	2	2
158	и все	9	2
159	его в	6	2
160	мира и	2	2
161	ничего не	2	2
162	мы имеем	2	2
163	иное как	3	2
164	таком случае	2	2
