N	2gram	Tiupa_Disk_2	Vvedenie
1	и в	16	32
2	в том	8	31
3	в этом	16	30
4	может быть	16	26
5	том что	10	26
6	не только	10	22
7	также и	3	18
8	то что	5	16
9	потому что	4	15
10	не может	9	14
11	в нем	7	13
12	о том	4	13
13	со стороны	10	13
14	и не	15	12
15	как на	3	12
16	представляет собой	11	12
17	в его	3	12
18	только в	3	12
19	в данном	7	11
20	что в	5	10
21	но в	11	9
22	и как	3	9
23	между тем	2	9
24	то же	6	9
25	в той	2	9
26	не менее	7	8
27	с другой	5	8
28	это не	3	8
29	не в	3	8
30	именно в	2	8
31	прежде всего	7	7
32	точки зрения	4	7
33	но не	7	7
34	все же	6	7
35	из этих	3	6
36	же время	5	6
37	но и	11	6
38	все это	2	6
39	в то	5	6
40	его в	3	6
41	как и	16	6
42	в качестве	16	6
43	и его	3	6
44	и это	2	6
45	как бы	4	5
46	в целом	2	5
47	данном случае	6	5
48	другой стороны	2	5
49	с их	2	5
50	в них	3	5
51	на почве	2	5
52	вместе с	2	5
53	а не	14	5
54	могут быть	3	5
55	как уже	2	4
56	этом случае	2	4
57	времени и	2	4
58	одной стороны	4	4
59	о чем	2	4
60	в котором	3	4
61	в тексте	3	4
62	по отношению	4	4
63	этом отношении	4	4
64	с одной	4	4
65	а в	2	4
66	одно из	4	4
67	мы имеем	2	4
68	что он	2	4
69	еще не	6	4
70	отношению к	4	4
71	в своей	6	4
72	уже не	3	4
73	и для	2	4
74	той же	2	4
75	и то	4	4
76	и ее	3	4
77	в себе	19	4
78	в частности	12	3
79	в этих	3	3
80	можно сказать	3	3
81	в строгом	3	3
82	в этой	4	3
83	при этом	17	3
84	такого рода	9	3
85	в ней	2	3
86	отношение к	2	3
87	из них	3	3
88	в своем	5	3
89	все эти	3	3
90	свое время	2	3
91	и на	5	3
92	в результате	2	3
93	говорить о	2	3
94	к этому	4	3
95	стороны и	2	3
96	которых не	2	3
97	в одном	4	3
98	в свое	2	3
99	а также	8	3
100	что и	2	3
101	дело в	2	3
102	своего рода	10	3
103	что же	2	3
104	времени в	4	3
105	как будто	3	3
106	в области	2	3
107	же как	2	2
108	на рубеже	3	2
109	должна быть	2	2
110	никогда не	2	2
111	это в	2	2
112	или иной	3	2
113	не нужно	2	2
114	это еще	2	2
115	но это	3	2
116	соответствии с	3	2
117	из двух	3	2
118	жизни как	2	2
119	не к	2	2
120	не было	3	2
121	же касается	2	2
122	в принципе	2	2
123	должно быть	2	2
124	не столько	3	2
125	не следует	3	2
126	и с	2	2
127	той или	3	2
128	так и	9	2
129	ни к	5	2
130	состоит в	16	2
131	большей части	2	2
132	не с	2	2
133	в соответствии	2	2
134	воззрения на	2	2
135	того же	2	2
136	отсюда и	2	2
137	жизни и	3	2
138	но уже	2	2
139	с ней	2	2
140	в языке	2	2
141	входит в	2	2
142	тогда как	11	2
143	с точки	2	2
144	тому как	2	2
145	подобно тому	2	2
146	время в	2	2
147	в другом	3	2
148	здесь не	2	2
149	который по	2	2
