N	2gram	Tiupa_Lite_3	Psycholo
1	в том	12	37
2	и в	16	32
3	том что	8	21
4	то что	12	21
5	потому что	3	21
6	то есть	5	21
7	что в	2	20
8	так же	2	18
9	может быть	12	18
10	что и	2	17
11	не может	8	17
12	точки зрения	7	17
13	самом деле	3	16
14	того чтобы	2	14
15	что он	5	13
16	при этом	15	13
17	то же	9	13
18	для того	2	13
19	в этом	14	13
20	по себе	2	12
21	в самом	3	12
22	не только	14	12
23	на то	2	11
24	было бы	2	11
25	в основе	5	11
26	как и	5	10
27	когда он	2	10
28	но и	14	10
29	и не	22	10
30	с точки	3	10
31	искусства и	3	9
32	никогда не	4	9
33	как в	5	9
34	в своих	2	9
35	тем что	2	9
36	не менее	2	8
37	не в	10	8
38	той же	3	8
39	того что	9	8
40	к тому	6	7
41	и как	3	7
42	а не	12	7
43	поэзии и	2	7
44	и его	6	7
45	как будто	4	7
46	только в	7	7
47	все время	3	6
48	в этой	8	6
49	как бы	8	6
50	художественное произведение	2	6
51	же самое	2	6
52	о том	6	6
53	если бы	2	6
54	художественного произведения	2	5
55	отнюдь не	3	5
56	что у	2	5
57	вслед за	3	5
58	далеко не	2	5
59	как раз	2	5
60	этом отношении	5	5
61	и даже	2	5
62	как на	3	5
63	и на	2	5
64	в то	9	5
65	едва ли	3	4
66	с этой	2	4
67	искусство как	2	4
68	в жизни	8	4
69	как это	3	4
70	а на	2	4
71	и сам	2	4
72	несмотря на	2	4
73	совершенно не	3	4
74	и тем	3	4
75	в нем	2	4
76	все же	2	4
77	из них	4	4
78	жизни и	3	4
79	данном случае	4	4
80	а в	5	4
81	и для	4	4
82	в данном	4	4
83	и с	2	4
84	в целом	5	4
85	между тем	3	4
86	состоит в	6	3
87	в частности	11	3
88	с другой	6	3
89	не как	2	3
90	в конце	2	3
91	и другого	2	3
92	и к	3	3
93	по существу	4	3
94	до конца	4	3
95	в свою	2	3
96	художника и	2	3
97	например в	3	3
98	в своей	7	3
99	один из	2	3
100	то это	2	3
101	с ее	3	3
102	так и	9	3
103	во всех	2	3
104	том чтобы	2	3
105	и ее	2	3
106	бы и	3	3
107	и вот	2	3
108	что не	2	3
109	тому как	3	3
110	в нас	2	3
111	он в	2	3
112	он все	2	3
113	в поэзии	5	3
114	но в	3	3
115	место в	4	2
116	с его	6	2
117	однако не	3	2
118	все более	2	2
119	читателя и	2	2
120	то ни	2	2
121	это не	5	2
122	искусство в	2	2
123	в одном	4	2
124	в полном	2	2
125	а я	3	2
126	в романе	3	2
127	же время	7	2
128	всякий раз	2	2
129	и при	2	2
130	еще не	6	2
131	но не	4	2
132	того же	2	2
133	для такого	2	2
134	на его	3	2
135	которому он	2	2
136	в его	6	2
137	не вполне	2	2
138	в ее	5	2
139	оно не	2	2
140	бы то	2	2
141	отношение к	2	2
142	вместе с	5	2
143	вплоть до	2	2
144	другой стороны	2	2
145	и наоборот	2	2
146	из того	2	2
147	отличие от	5	2
148	доверие к	2	2
149	подобно тому	2	2
150	в себе	6	2
151	и только	2	2
152	могли бы	2	2
153	эстетического объекта	6	2
154	там где	3	2
