N	2gram	Tiupa_Vved_1	Myshleni
1	таким образом	4	26
2	в том	10	24
3	и в	13	23
4	том что	7	21
5	в целом	3	20
6	то что	6	17
7	в этом	21	17
8	не только	20	16
9	того что	6	15
10	что в	3	14
11	может быть	18	14
12	но и	19	14
13	как и	11	14
14	в его	4	14
15	не может	7	12
16	как бы	4	11
17	представляет собой	15	11
18	с другой	5	10
19	прежде всего	7	10
20	в качестве	8	9
21	одной стороны	5	9
22	не является	3	9
23	другой стороны	2	9
24	и не	12	9
25	и с	2	9
26	в ходе	2	8
27	с одной	5	8
28	и на	3	8
29	в основе	3	8
30	то же	5	8
31	в самом	2	7
32	по отношению	7	7
33	в то	4	7
34	отношению к	7	7
35	мы не	4	7
36	и тем	2	6
37	лишь в	2	6
38	потому что	5	6
39	в силу	2	6
40	о том	5	6
41	и его	5	6
42	мы можем	2	6
43	тем что	2	6
44	в себе	5	6
45	только в	6	6
46	в какой	4	5
47	перед нами	6	5
48	можно сказать	4	5
49	по себе	2	5
50	в своих	2	5
51	что мы	2	5
52	и все	4	5
53	бы в	3	5
54	если бы	7	5
55	но в	6	5
56	и более	3	5
57	между собой	2	5
58	представить себе	2	5
59	по своей	3	5
60	он не	3	5
61	так и	8	5
62	как мы	3	5
63	тем самым	5	5
64	и т.д	5	5
65	но не	5	4
66	в свою	4	4
67	не в	6	4
68	высшей степени	2	4
69	при этом	26	4
70	в котором	8	4
71	целый ряд	2	4
72	в высшей	2	4
73	не столько	4	4
74	этом отношении	4	4
75	в результате	3	4
76	их в	2	4
77	к этому	2	4
78	и к	2	4
79	было бы	4	4
80	к тому	6	4
81	в своей	5	4
82	как в	4	4
83	приводит к	2	4
84	как раз	2	4
85	а с	2	4
86	в своем	5	3
87	и от	2	3
88	из этих	3	3
89	одного из	3	3
90	свою очередь	4	3
91	обратиться к	2	3
92	мы и	2	3
93	том чтобы	2	3
94	который в	2	3
95	то и	2	3
96	в одной	2	3
97	как он	2	3
98	не могло	2	3
99	об этом	4	3
100	во всех	2	3
101	все же	6	3
102	должны были	2	3
103	самом деле	3	3
104	а не	15	3
105	можно было	2	3
106	могут быть	4	3
107	всей его	2	3
108	детей в	2	3
109	в области	3	3
110	в изложении	2	2
111	действия но	2	2
112	в частности	13	2
113	никогда не	4	2
114	в нашем	6	2
115	же время	3	2
116	для него	3	2
117	о чем	2	2
118	вместо того	2	2
119	вслед за	2	2
120	хотя и	7	2
121	не имеет	2	2
122	один из	3	2
123	не с	3	2
124	мы видели	2	2
125	не к	4	2
126	жизни и	7	2
127	данном случае	6	2
128	начиная с	3	2
129	сознания в	3	2
130	в слове	3	2
131	и наконец	2	2
132	бы и	4	2
133	а в	6	2
134	к его	3	2
135	говорить о	2	2
136	о котором	2	2
137	в первом	2	2
138	в этих	3	2
139	которая в	3	2
140	в них	2	2
141	связано с	3	2
142	своей природе	2	2
143	иначе говоря	6	2
144	и понимания	2	2
145	строго говоря	2	2
146	в современной	3	2
147	на него	2	2
148	уже не	5	2
149	в речи	2	2
150	в данном	13	2
151	между двумя	3	2
152	представляют собой	3	2
153	едва ли	3	2
