N	2gram	Berdyaev_M_1	formyVre
1	и в	28	46
2	в этом	20	22
3	прежде всего	10	14
4	и его	9	12
5	только в	6	11
6	не только	29	11
7	в том	6	10
8	как бы	2	10
9	точки зрения	4	10
10	то есть	3	10
11	но в	7	10
12	у него	17	9
13	не в	16	9
14	мира и	5	9
15	вместе с	6	9
16	но и	25	9
17	и не	11	9
18	и для	2	9
19	как и	5	8
20	в его	9	8
21	жизни и	2	8
22	того чтобы	2	8
23	для того	2	8
24	потому что	16	8
25	в них	4	7
26	может быть	30	7
27	то что	5	7
28	и на	6	7
29	никогда не	14	6
30	и во	2	6
31	и все	10	6
32	его в	3	6
33	все же	2	6
34	все это	6	6
35	человека в	13	6
36	в основе	2	6
37	так как	3	6
38	и с	3	6
39	в своем	10	5
40	с этим	3	5
41	в то	2	5
42	но не	8	5
43	он не	24	5
44	в нем	13	5
45	что в	10	5
46	все эти	2	5
47	и у	2	5
48	должно быть	3	5
49	место в	2	4
50	уже в	4	4
51	жизни в	2	4
52	с этой	4	4
53	человека и	14	4
54	с ним	2	4
55	том что	3	4
56	есть и	3	4
57	в котором	8	4
58	в мире	10	4
59	и их	3	4
60	конечно не	3	4
61	как в	2	4
62	мир в	3	4
63	отношения к	4	4
64	человеческой жизни	2	4
65	а не	25	4
66	и он	12	4
67	также и	2	4
68	в себе	7	4
69	в истории	2	4
70	о том	2	4
71	все его	3	4
72	не было	18	3
73	прежде чем	2	3
74	у данте	3	3
75	о чем	2	3
76	мы еще	2	3
77	себя и	3	3
78	к этому	2	3
79	к тому	3	3
80	что он	10	3
81	и как	2	3
82	это значит	3	3
83	для него	11	3
84	в этот	2	3
85	нет и	5	3
86	что и	4	3
87	отношение к	4	3
88	всего в	2	3
89	в их	4	3
90	уже не	4	3
91	того что	7	3
92	и по	4	3
93	а в	4	3
94	в которых	4	3
95	тем что	4	3
96	на протяжении	2	3
97	в этих	4	3
98	в виду	2	3
99	из самых	8	2
100	на этом	3	2
101	не был	7	2
102	человек в	9	2
103	по своему	2	2
104	и есть	14	2
105	это не	5	2
106	все в	6	2
107	он был	14	2
108	в самой	7	2
109	не мог	3	2
110	у нас	5	2
111	человеческого образа	3	2
112	мы видим	2	2
113	бога и	10	2
114	в этой	6	2
115	много в	2	2
116	с тем	9	2
117	свет и	2	2
118	все что	2	2
119	смысле слова	4	2
120	плоти и	3	2
121	до конца	14	2
122	она не	4	2
123	было бы	10	2
124	и к	2	2
125	этого мира	3	2
126	и потому	10	2
127	только один	2	2
128	один из	4	2
129	сих пор	2	2
130	и самый	2	2
131	не может	28	2
132	и своеобразный	2	2
133	на земле	2	2
134	у всех	2	2
135	и вот	3	2
136	в той	2	2
137	образ человека	7	2
138	лишь в	6	2
139	человек не	10	2
140	особенно в	3	2
141	в иной	3	2
142	людей и	2	2
143	от этого	2	2
144	и от	2	2
145	могут быть	2	2
146	но он	9	2
147	этот мир	2	2
148	не знает	4	2
149	него и	2	2
150	человеческой природы	20	2
151	в конце	7	2
152	как он	2	2
153	и это	12	2
154	значит что	4	2
155	до сих	2	2
