N	2gram	Tiupa_Hudo_1	Problemy
1	и в	14	46
2	и не	2	27
3	может быть	5	23
4	как бы	7	19
5	не может	7	19
6	в нем	3	17
7	в этом	11	16
8	не только	12	14
9	слова в	2	13
10	перед нами	5	12
11	но и	5	12
12	как и	9	12
13	как мы	3	12
14	и на	3	11
15	точки зрения	5	11
16	а не	12	11
17	не в	7	10
18	в пределах	3	10
19	прежде всего	11	9
20	в том	12	9
21	в самом	4	9
22	и все	4	9
23	слово не	2	9
24	и к	4	9
25	в его	8	9
26	с точки	3	9
27	до сих	2	8
28	сих пор	2	8
29	и с	4	7
30	по себе	2	7
31	еще не	7	7
32	как раз	4	7
33	в себе	11	7
34	никогда не	6	6
35	ни в	5	6
36	хотя и	2	6
37	в него	2	6
38	друг друга	5	6
39	к себе	5	6
40	о нем	3	6
41	но в	5	6
42	на фоне	2	6
43	что он	9	6
44	что я	2	6
45	то же	9	6
46	все это	2	6
47	и он	5	6
48	и его	5	6
49	только в	5	6
50	это не	7	5
51	же время	8	5
52	при этом	12	5
53	жизни и	5	5
54	по отношению	8	5
55	особенно в	2	5
56	в то	8	5
57	с его	5	5
58	у него	9	5
59	к другому	4	5
60	о том	12	5
61	отношению к	8	5
62	так сказать	2	5
63	что в	6	4
64	в этих	5	4
65	можно сказать	4	4
66	да и	2	4
67	до конца	2	4
68	например в	2	4
69	в их	2	4
70	все эти	3	4
71	должно быть	2	4
72	потому что	5	4
73	вся жизнь	2	4
74	мы не	2	4
75	не знает	2	4
76	превращается в	3	4
77	как в	8	4
78	том что	16	4
79	но не	3	4
80	он не	4	4
81	все же	3	4
82	то что	8	4
83	своего рода	7	4
84	так и	13	4
85	приводит к	3	4
86	себе самому	3	4
87	в себя	2	4
88	уже не	7	4
89	самом деле	5	4
90	героя и	5	4
91	здесь не	2	4
92	себя и	2	3
93	на то	4	3
94	к своему	2	3
95	в мире	3	3
96	такой же	3	3
97	в своем	4	3
98	на этом	3	3
99	себе и	2	3
100	и для	3	3
101	и даже	3	3
102	но он	3	3
103	в конце	4	3
104	как он	2	3
105	если бы	3	3
106	бытия и	4	3
107	с ее	2	3
108	по своей	4	3
109	а то	2	3
110	и что	2	3
111	она не	4	3
112	было бы	6	3
113	мы уже	4	3
114	в своей	10	3
115	и о	4	3
116	никак не	2	3
117	себя в	4	3
118	на него	2	3
119	что же	2	3
120	только на	2	3
121	в центре	4	3
122	героя в	2	3
123	в речи	2	3
124	той же	2	3
125	слова как	2	3
126	тем что	3	3
127	в этой	8	3
128	и это	4	3
129	не менее	5	2
130	в одной	2	2
131	вопрос о	2	2
132	к тому	7	2
133	живет в	2	2
134	так что	2	2
135	же как	2	2
136	как нам	2	2
137	для него	10	2
138	если в	2	2
139	в первой	6	2
140	на том	2	2
141	к жизни	5	2
142	то и	3	2
143	влияние на	2	2
144	не было	4	2
145	они не	2	2
146	лишь в	3	2
147	в системе	2	2
148	и по	3	2
149	его жизнь	2	2
150	а в	7	2
151	в результате	2	2
152	и так	2	2
153	о котором	2	2
154	в художественном	2	2
155	с ним	4	2
156	между тем	8	2
157	поэтому и	2	2
158	с этим	3	2
159	в духе	4	2
160	остановимся на	2	2
161	но с	2	2
162	раз в	2	2
163	одна из	2	2
164	не нужно	2	2
165	своей природе	2	2
166	в произведениях	2	2
167	он уже	4	2
168	об этом	5	2
169	так в	2	2
170	все равно	2	2
171	речь в	2	2
172	не была	2	2
173	можно было	5	2
174	ничего не	8	2
175	в рассказе	11	2
176	автора и	2	2
177	в другом	2	2
