N	2gram	Losev_Dial_1	Problema
1	и не	30	28
2	не только	13	24
3	только в	3	23
4	в виде	2	22
5	вовсе не	7	21
6	в том	9	20
7	и в	18	20
8	ни в	15	17
9	не просто	7	16
10	все эти	2	16
11	то что	13	15
12	потому что	14	15
13	было бы	12	14
14	той или	7	14
15	но и	7	14
16	точки зрения	17	14
17	или иной	3	13
18	не в	6	13
19	также и	7	13
20	даже и	3	13
21	не есть	40	12
22	в себе	11	12
23	том что	9	12
24	прежде всего	10	11
25	по себе	25	11
26	с точки	12	11
27	есть символ	3	11
28	не менее	2	10
29	отнюдь не	9	10
30	в качестве	2	10
31	не является	3	10
32	так и	9	10
33	это значит	11	10
34	может быть	17	9
35	есть нечто	10	9
36	все это	11	9
37	и даже	13	9
38	в этом	12	9
39	содержит в	3	8
40	если бы	12	8
41	что он	11	8
42	во всяком	4	8
43	и все	3	8
44	но в	6	8
45	значит что	14	8
46	с другой	6	7
47	это не	9	7
48	ясно что	8	7
49	еще не	2	7
50	и потому	3	7
51	то же	10	7
52	именно в	2	7
53	а не	14	7
54	сказать что	10	7
55	и с	5	7
56	в ней	3	7
57	хотя бы	6	7
58	об этом	4	6
59	всех этих	3	6
60	и от	2	6
61	по крайней	4	6
62	а только	3	6
63	так что	15	6
64	в символе	4	6
65	как и	2	6
66	но это	8	6
67	есть не	3	6
68	что здесь	2	6
69	крайней мере	4	6
70	но если	5	6
71	в виду	5	6
72	другой стороны	4	6
73	в данном	3	6
74	сам по	6	6
75	в каком	8	6
76	и вообще	4	6
77	мы имеем	2	6
78	не существует	7	5
79	но не	4	5
80	на самом	3	5
81	хотя и	4	5
82	в нем	16	5
83	здесь в	2	5
84	можно сказать	6	5
85	да и	6	5
86	случае не	3	5
87	действительности и	3	5
88	миф есть	4	5
89	и о	3	5
90	жизни и	3	5
91	как в	2	5
92	так же	4	5
93	то и	2	5
94	не может	12	5
95	в них	3	5
96	только и	4	5
97	так как	11	5
98	если мы	2	5
99	уже не	2	5
100	в аллегории	7	5
101	в этих	5	5
102	ничего общего	4	5
103	о том	4	5
104	и ни	6	5
105	и есть	16	4
106	в отношении	5	4
107	и для	2	4
108	это и	4	4
109	всегда есть	2	4
110	указывает на	3	4
111	ни о	5	4
112	несмотря на	10	4
113	в своей	2	4
114	никак не	6	4
115	что она	7	4
116	тех или	3	4
117	как бы	11	4
118	всяком случае	2	4
119	тем более	2	4
120	не имеет	15	4
121	и т	21	4
122	и образ	6	4
123	ни с	6	4
124	отличается от	2	4
125	тут и	2	4
126	с этим	2	4
127	в разных	3	4
128	а в	5	4
129	что не	7	4
130	можно было	5	4
131	жизнь и	3	4
132	как раз	4	4
133	в то	6	4
134	с ним	6	4
135	нет ни	2	4
136	к тому	4	3
137	и более	4	3
138	уже и	3	3
139	в мифе	12	3
140	не мешает	4	3
141	были бы	2	3
142	у пушкина	4	3
143	точно так	2	3
