N	2gram	Tiupa_Disk_1	Morfolog
1	может быть	17	52
2	таким образом	3	20
3	в сказке	3	19
4	представляет собой	17	17
5	не может	9	17
6	могут быть	4	15
7	с этим	3	14
8	и в	16	13
9	в этом	15	13
10	и др	2	12
11	перед нами	3	11
12	связи с	4	11
13	заметить что	2	10
14	прежде всего	11	9
15	не всегда	2	9
16	так и	8	9
17	то же	7	9
18	и не	11	9
19	а не	22	9
20	мы имеем	2	9
21	с другой	10	8
22	что и	3	8
23	в тех	2	7
24	в качестве	34	7
25	все же	3	7
26	это не	3	6
27	в том	23	6
28	но не	11	6
29	а также	8	6
30	в форме	2	6
31	а в	5	6
32	подобно тому	2	6
33	не менее	2	5
34	тому как	3	5
35	в ходе	3	5
36	во всех	5	5
37	далеко не	10	5
38	как бы	5	5
39	один из	3	5
40	то что	5	5
41	или в	2	5
42	потому что	4	5
43	что в	4	4
44	и как	6	4
45	героя в	2	4
46	об этом	2	4
47	отношению к	9	4
48	на его	4	4
49	не только	28	4
50	как в	10	4
51	как мы	2	4
52	другой стороны	3	4
53	по отношению	9	4
54	как и	16	4
55	хотя и	2	4
56	тем что	3	4
57	точки зрения	3	4
58	могла бы	2	4
59	на этом	2	4
60	также и	3	4
61	между собой	2	3
62	в начале	2	3
63	в какой	2	3
64	том что	19	3
65	в целом	4	3
66	в пределах	2	3
67	в сущности	2	3
68	во втором	4	3
69	не является	4	3
70	в первом	3	3
71	но и	14	3
72	целый ряд	2	3
73	и по	2	3
74	последовательность событий	2	3
75	а по	2	3
76	из них	3	3
77	и ее	2	3
78	в то	3	3
79	героя и	2	3
80	но в	8	3
81	ни к	6	2
82	в частности	9	2
83	однако в	3	2
84	хотя бы	3	2
85	состоит в	9	2
86	к этому	2	2
87	как уже	3	2
88	что он	4	2
89	в различных	2	2
90	можно сказать	5	2
91	так например	2	2
92	и к	4	2
93	к различным	2	2
94	волшебной сказке	2	2
95	не с	3	2
96	только в	7	2
97	они и	3	2
98	для него	4	2
99	одной стороны	9	2
100	не от	2	2
101	одной из	4	2
102	или на	3	2
103	и сказки	6	2
104	из двух	2	2
105	оно не	2	2
106	себя в	2	2
107	или менее	2	2
108	а с	5	2
109	с одной	9	2
110	и что	2	2
111	к себе	2	2
112	того что	3	2
113	уже не	4	2
114	и его	2	2
115	как их	2	2
116	и сказка	3	2
117	в другом	2	2
118	о том	8	2
119	сказать что	3	2
120	более или	2	2
121	это было	2	2
