N	2gram	Potebnia_M_1	Sovremen
1	не может	22	17
2	точки зрения	8	12
3	может быть	27	12
4	таким образом	13	11
5	мы не	10	9
6	в каждом	4	8
7	не можем	2	7
8	в этом	15	7
9	и в	39	7
10	каждый раз	4	6
11	и не	18	6
12	как и	9	6
13	мы можем	2	6
14	что же	2	5
15	прежде всего	4	5
16	с точки	3	5
17	как бы	6	4
18	мы видели	4	4
19	если мы	3	4
20	в целом	2	4
21	жизни и	2	4
22	вместе с	8	4
23	это не	7	4
24	а в	5	4
25	вопрос о	4	4
26	не только	21	4
27	в том	26	4
28	мы должны	3	4
29	так как	21	4
30	самого начала	3	3
31	все же	6	3
32	при таком	4	3
33	мы называем	2	3
34	то же	6	3
35	в нем	20	3
36	а не	21	3
37	для нас	9	3
38	у нас	2	3
39	когда мы	2	3
40	с самого	3	3
41	не в	15	3
42	в этой	3	3
43	еще не	6	3
44	при этом	6	3
45	было бы	12	3
46	в одном	8	3
47	и все	3	3
48	в первом	5	3
49	в себе	13	3
50	само собою	2	3
51	но в	9	3
52	и потому	5	3
53	так сказать	2	2
54	не могут	4	2
55	что это	3	2
56	не менее	6	2
57	и есть	2	2
58	то и	7	2
59	и во	3	2
60	из этих	4	2
61	тем же	2	2
62	или же	3	2
63	из одного	3	2
64	что все	3	2
65	с одной	3	2
66	еще более	2	2
67	известных нам	2	2
68	как мы	2	2
69	уже не	2	2
70	в свою	4	2
71	и что	10	2
72	что при	5	2
73	на этот	2	2
74	и даже	4	2
75	и по	6	2
76	тем не	6	2
77	он должен	2	2
78	она может	3	2
79	той же	3	2
80	то ни	3	2
81	мы видим	4	2
82	в таком	5	2
83	но все	2	2
84	во всяком	3	2
85	свою очередь	4	2
86	времени и	2	2
87	могут быть	9	2
88	с этим	7	2
89	что в	22	2
90	в один	2	2
91	если же	5	2
92	по мнению	3	2
93	в самом	3	2
94	ни одна	2	2
95	в которой	2	2
96	в его	5	2
