N	2gram	Tiupa_Disk_1	Dialekti
1	не есть	2	54
2	и не	11	27
3	а не	22	26
4	точки зрения	3	25
5	и в	16	24
6	не только	28	23
7	по себе	3	20
8	не может	9	19
9	и есть	2	16
10	и что	2	15
11	то что	5	14
12	может быть	17	13
13	таким образом	3	13
14	и даже	3	13
15	что он	4	13
16	того что	3	12
17	не менее	2	11
18	что же	2	11
19	отнюдь не	8	10
20	в сущности	2	10
21	но и	14	9
22	прежде всего	11	8
23	и как	6	8
24	отличается от	2	8
25	том что	19	8
26	в этом	15	8
27	что в	4	7
28	никогда не	2	7
29	в самом	3	7
30	в особенности	4	7
31	потому что	4	7
32	в виду	2	7
33	как и	16	7
34	о том	8	6
35	возможно только	2	6
36	и все	2	6
37	об этом	2	6
38	оно не	2	6
39	что и	3	6
40	то же	7	6
41	в том	23	5
42	хотя и	2	5
43	точка зрения	2	5
44	и его	2	5
45	в то	3	5
46	в них	4	5
47	по крайней	2	5
48	и к	4	5
49	крайней мере	2	5
50	так и	8	5
51	уже не	4	5
52	что не	4	5
53	только в	7	5
54	с другой	10	4
55	это не	3	4
56	или иной	5	4
57	к тому	5	4
58	хотя бы	3	4
59	сказать что	3	4
60	в истории	4	4
61	о нем	2	4
62	тому как	3	4
63	подобно тому	2	4
64	для него	4	4
65	перед нами	3	3
66	не было	7	3
67	все же	3	3
68	за пределы	2	3
69	и без	2	3
70	в своем	6	3
71	в одной	3	3
72	его как	2	3
73	не в	7	3
74	есть в	2	3
75	особого рода	2	3
76	же время	4	3
77	одной стороны	9	3
78	в основе	7	3
79	из двух	2	3
80	в нем	9	3
81	это было	2	3
82	из них	3	3
83	с одной	9	3
84	того или	2	3
85	в сферу	3	3
86	и на	5	3
87	с этим	3	3
88	ни к	6	3
89	тем что	3	3
90	на себя	2	3
91	в силу	5	3
92	и о	4	3
93	сами по	2	3
94	как бы	5	3
95	должны быть	3	3
96	мифом и	2	3
97	и ее	2	3
98	зависит от	2	2
99	в частности	9	2
100	охватывает все	2	2
101	тому же	5	2
102	на этом	2	2
103	еще не	14	2
104	при этом	13	2
105	например в	2	2
106	той или	3	2
107	говоря уже	2	2
108	и тем	2	2
109	не говоря	2	2
110	другой стороны	3	2
111	целый ряд	2	2
112	именно в	3	2
113	сознания в	2	2
114	они не	2	2
115	и по	2	2
116	а в	5	2
117	в своих	3	2
118	также и	3	2
119	для себя	4	2
120	в первом	3	2
121	бы быть	3	2
122	уже о	2	2
123	и потому	3	2
124	но в	8	2
125	но они	2	2
126	с его	4	2
127	в разные	2	2
128	и во	2	2
129	в особом	2	2
130	в их	5	2
131	но как	2	2
132	но не	11	2
133	со стороны	7	2
134	себя в	2	2
135	как не	3	2
136	разного рода	2	2
137	как мы	2	2
138	и он	2	2
139	или в	2	2
140	тот или	2	2
141	в данном	5	2
142	во всяком	2	2
143	могут быть	4	2
144	мифа не	2	2
145	в себе	7	2
146	и вообще	2	2
147	в его	7	2
148	может и	2	2
