N	2gram	Kanaev_Sov_1	Myslijsy
1	может быть	12	26
2	таким образом	11	24
3	в том	4	23
4	и в	7	23
5	в этом	7	23
6	и не	6	18
7	что в	2	17
8	при этом	3	15
9	для нас	3	14
10	как и	6	14
11	в себе	3	14
12	то же	3	14
13	так как	4	14
14	а не	3	12
15	не в	3	11
16	не может	17	11
17	и потому	3	10
18	не только	4	10
19	мы можем	6	10
20	было бы	3	8
21	мы не	9	8
22	но в	3	8
23	что это	2	7
24	это не	4	7
25	в нем	3	7
26	и что	2	7
27	могут быть	2	7
28	с этим	2	7
29	что такое	2	7
30	и к	3	6
31	вместе с	4	6
32	когда мы	3	6
33	в которой	2	6
34	уже в	3	5
35	не можем	7	5
36	и мы	3	5
37	в его	2	5
38	как бы	4	5
39	что же	5	5
40	все это	3	5
41	не менее	2	5
42	а в	4	5
43	во всяком	2	5
44	говорить о	2	5
45	такие же	2	5
46	так сказать	2	5
47	каждый раз	6	4
48	и все	3	4
49	что все	2	4
50	тем не	2	4
51	на котором	2	4
52	в одном	3	4
53	то и	2	4
54	в таком	2	4
55	точки зрения	12	4
56	же самое	2	4
57	если же	2	4
58	и есть	2	3
59	так называемых	3	3
60	из одного	2	3
61	еще не	3	3
62	на его	2	3
63	в самом	2	3
64	всяком случае	2	3
65	в каждом	8	3
66	той же	2	3
67	все эти	5	3
68	уже не	2	3
69	самом деле	2	3
70	в науке	2	3
71	и по	2	3
72	их в	4	3
73	с точки	5	3
74	в первом	3	3
75	не могут	2	2
76	самого начала	3	2
77	в нашем	2	2
78	из этих	2	2
79	в наших	3	2
80	вопрос о	4	2
81	у нас	3	2
82	в свою	2	2
83	тот же	2	2
84	не знаем	2	2
85	можно назвать	2	2
86	что она	3	2
87	мы видим	2	2
88	если мы	4	2
89	еще более	2	2
90	же мы	2	2
91	и они	2	2
92	как мы	2	2
93	из которых	2	2
94	на этот	2	2
95	и даже	2	2
96	может иметь	2	2
97	в виде	2	2
98	мы должны	4	2
99	но мы	3	2
100	быть и	2	2
101	в области	3	2
