N	2gram	Vygotskiy__2	formyVre
1	и в	32	46
2	в этом	13	22
3	и т	10	14
4	вовсе не	2	13
5	в романе	2	13
6	человеческого тела	2	12
7	и его	7	12
8	только в	7	11
9	не только	12	11
10	во всех	3	11
11	т п	8	11
12	в том	37	10
13	как бы	6	10
14	точки зрения	17	10
15	то есть	21	10
16	но в	3	10
17	не в	8	9
18	вместе с	2	9
19	но и	10	9
20	и не	10	9
21	и для	4	9
22	как и	10	8
23	в его	2	8
24	жизни и	4	8
25	то же	13	8
26	того чтобы	14	8
27	для того	13	8
28	с точки	10	8
29	потому что	21	8
30	из них	4	8
31	вещей и	2	7
32	в них	2	7
33	в одном	2	7
34	может быть	18	7
35	то что	21	7
36	так и	3	7
37	и на	5	7
38	никогда не	9	6
39	и все	4	6
40	при этом	13	6
41	еще не	2	6
42	все же	4	6
43	все это	5	6
44	в особенности	2	6
45	те же	6	6
46	в основе	11	6
47	романе в	2	6
48	так как	12	6
49	и с	4	6
50	в частности	3	5
51	с этим	4	5
52	по существу	3	5
53	в то	5	5
54	но не	2	5
55	он не	6	5
56	в нем	4	5
57	что в	20	5
58	все эти	7	5
59	в смысле	3	5
60	и у	2	5
61	место в	2	4
62	отнюдь не	5	4
63	с этой	4	4
64	же время	2	4
65	значение и	2	4
66	том что	21	4
67	так что	3	4
68	что они	7	4
69	том же	2	4
70	его жизни	2	4
71	и их	3	4
72	как в	9	4
73	еще более	3	4
74	а не	7	4
75	и он	3	4
76	также и	2	4
77	их в	2	4
78	в себе	2	4
79	о том	6	4
80	не было	2	3
81	мы будем	2	3
82	того же	2	3
83	та же	3	3
84	к тому	7	3
85	что он	13	3
86	и как	7	3
87	это значит	3	3
88	тем более	2	3
89	тот же	6	3
90	том как	2	3
91	что на	4	3
92	точка зрения	2	3
93	как можно	2	3
94	что и	17	3
95	отношение к	2	3
96	на нас	3	3
97	целый ряд	6	3
98	т д	2	3
99	не на	2	3
100	таким образом	21	3
101	в их	3	3
102	здесь мы	2	3
103	того что	8	3
104	и даже	5	3
105	и по	4	3
106	а в	4	3
107	роль в	2	3
108	жизнь и	3	3
109	в которых	3	3
110	и совершенно	3	3
111	тем что	9	3
112	имеем в	2	3
113	же самое	6	3
114	в этих	2	3
115	не могли	3	3
116	в виду	3	3
117	из самых	2	2
118	на этом	3	2
119	столько же	3	2
120	и более	4	2
121	по своему	3	2
122	с другой	3	2
123	и других	3	2
124	это не	2	2
125	и так	3	2
126	что все	9	2
127	представление о	3	2
128	по себе	12	2
129	но эта	2	2
130	в отношении	3	2
131	в самой	2	2
132	мы видим	4	2
133	как история	2	2
134	в этой	6	2
135	с тем	11	2
136	утверждает что	5	2
137	в день	2	2
138	а на	4	2
139	все что	2	2
140	до конца	3	2
141	она не	2	2
142	было бы	11	2
143	и к	3	2
144	наряду с	4	2
145	в сущности	7	2
146	вплоть до	2	2
147	к ним	2	2
148	явлений и	2	2
149	если в	2	2
150	один из	3	2
151	сих пор	5	2
152	и до	4	2
153	жизни с	3	2
154	не может	17	2
155	и только	2	2
156	этом отношении	5	2
157	у всех	2	2
158	и вот	3	2
159	и всегда	2	2
160	так же	18	2
161	как на	5	2
162	у них	2	2
163	форма в	2	2
164	каждый из	2	2
165	сами по	3	2
166	в данном	4	2
167	но это	2	2
168	и от	2	2
169	мы имеем	4	2
170	могут быть	4	2
171	но он	3	2
172	ту же	4	2
173	в поэзии	3	2
174	далеко не	5	2
175	в конце	3	2
176	как он	2	2
177	и это	4	2
178	там где	2	2
179	как это	4	2
180	во всяком	2	2
181	значит что	3	2
182	до сих	5	2
