N	2gram	Vygotskiy__1	Sotsiolo
1	все это	8	7
2	в том	30	5
3	в этом	12	5
4	не в	11	3
5	для нас	5	3
6	и только	3	3
7	в его	6	3
8	и в	31	3
9	не только	13	3
10	было бы	6	2
11	как будто	5	2
12	только в	14	2
13	в конце	3	2
14	по существу	4	2
15	это и	3	2
16	таким образом	20	2
17	том что	16	2
18	далеко не	2	2
19	то же	5	2
20	то что	32	2
21	главным образом	2	2
22	может быть	22	2
23	в результате	4	2
24	в частности	3	2
25	и что	8	2
26	но и	2	2
27	очевидно что	6	2
28	как бы	5	2
29	должна быть	3	2
30	конце концов	3	2
31	что в	23	2
