N	2gram	Tiupa_Lite_1	DiskursI
1	в себе	7	19
2	при этом	19	17
3	состоит в	11	16
4	в качестве	17	16
5	и в	8	16
6	может быть	13	16
7	как и	6	16
8	в этом	12	16
9	и не	12	15
10	а не	16	14
11	в частности	15	12
12	и т.п	4	12
13	в отличие	5	12
14	отличие от	5	12
15	то есть	6	12
16	в мире	2	11
17	представляет собой	4	11
18	но и	17	11
19	тогда как	13	11
20	но в	3	11
21	том что	14	10
22	не только	24	10
23	своего рода	11	10
24	со стороны	4	10
25	такого рода	10	9
26	так и	4	9
27	не может	5	9
28	в том	16	8
29	а также	5	8
30	как в	5	8
31	в рамках	6	7
32	не менее	7	7
33	художественного письма	9	7
34	прежде всего	11	7
35	в нем	2	7
36	но не	4	7
37	при всей	3	7
38	в лирике	3	7
39	в данном	5	7
40	по мысли	2	6
41	с его	5	6
42	отнюдь не	2	6
43	себя в	6	6
44	еще не	4	6
45	все же	4	6
46	в своей	4	6
47	данном случае	4	6
48	то же	5	6
49	тем самым	5	6
50	в своих	4	6
51	по своей	3	6
52	что в	3	5
53	в своем	11	5
54	с другой	3	5
55	нового времени	2	5
56	же время	5	5
57	для него	2	5
58	то что	10	5
59	коммуникативного события	7	5
60	в то	5	5
61	я в	5	5
62	одного из	3	4
63	с позиции	2	4
64	не сводится	3	4
65	в пределах	3	4
66	художественного целого	2	4
67	одной стороны	2	4
68	как бы	7	4
69	отношению к	2	4
70	по отношению	3	4
71	этом отношении	2	4
72	с одной	2	4
73	роль в	2	4
74	потому что	3	4
75	в основе	3	4
76	одно из	3	4
77	точки зрения	6	4
78	в этой	4	4
79	и то	2	4
80	о том	2	4
81	не является	2	4
82	я и	7	4
83	на рубеже	3	3
84	могут быть	2	3
85	столь же	4	3
86	это не	4	3
87	не столько	5	3
88	из этих	2	3
89	или иной	2	3
90	уже не	7	3
91	и того	2	3
92	не в	8	3
93	например в	3	3
94	но одновременно	2	3
95	адресата в	2	3
96	в его	7	3
97	в русской	10	3
98	еще в	4	3
99	из них	4	3
100	жизни и	3	3
101	коммуникативное событие	4	3
102	в тексте	8	3
103	приводит к	3	3
104	лирический герой	4	3
105	не было	3	3
106	все эти	2	3
107	также и	3	3
108	и его	4	3
109	ведет к	4	3
110	в другом	2	3
111	как будто	2	3
112	только в	8	3
113	его в	3	3
114	с читателем	2	3
115	мира в	3	3
116	как все	2	2
117	на роль	2	2
118	жизни не	2	2
119	другого в	3	2
120	никогда не	4	2
121	которая в	2	2
122	в целом	8	2
123	повестях белкина	2	2
124	что он	5	2
125	вследствие которого	2	2
126	того же	2	2
127	с.с аверинцева	2	2
128	должна быть	2	2
129	с их	3	2
130	в формах	4	2
131	в повестях	3	2
132	несет в	2	2
133	своего другого	3	2
134	далеко не	3	2
135	отношения между	2	2
136	на почве	2	2
137	для себя	5	2
138	с точки	2	2
139	этом в	3	2
140	не к	2	2
141	русской литературе	5	2
142	и прежде	3	2
143	не на	2	2
144	по преимуществу	4	2
145	в себя	2	2
146	сводится к	3	2
147	объекта и	2	2
148	более чем	3	2
149	в принципе	3	2
150	а в	3	2
151	той же	3	2
152	тому как	2	2
153	оказывается не	2	2
154	подобно тому	2	2
155	дело в	3	2
156	и адресата	4	2
157	в области	3	2
158	между тем	2	2
159	литературного письма	2	2
160	но при	2	2
