N	2gram	Vygotskiy__3	Hudozhes
1	и в	38	28
2	том что	14	19
3	в ее	7	18
4	и не	10	18
5	в том	25	15
6	а не	7	14
7	не в	12	13
8	в этом	13	13
9	о том	6	12
10	перед нами	8	11
11	как и	8	11
12	при этом	4	11
13	в его	5	11
14	не только	12	11
15	уже не	2	10
16	но и	5	9
17	в себе	4	9
18	что он	11	8
19	может быть	19	8
20	между тем	7	8
21	я не	5	7
22	и все	10	7
23	к тому	6	7
24	что она	16	7
25	с ним	2	7
26	состоит в	3	7
27	как это	6	7
28	казалось бы	5	6
29	в котором	6	6
30	то что	35	6
31	в своей	5	6
32	если бы	14	6
33	то же	10	6
34	а в	7	6
35	тем что	3	6
36	в то	3	6
37	что это	10	5
38	и другие	2	5
39	у него	4	5
40	в своем	5	5
41	как бы	14	5
42	как в	4	5
43	с ее	2	5
44	в этой	13	5
45	что в	20	5
46	она не	6	5
47	в самом	25	5
48	наряду с	3	5
49	никогда не	4	5
50	не могла	2	5
51	и его	6	5
52	одно из	2	5
53	для него	2	5
54	ничего не	2	5
55	тому что	6	4
56	говорит о	2	4
57	своей жизни	2	4
58	что они	4	4
59	в качестве	2	4
60	для того	8	4
61	и о	3	4
62	он не	6	4
63	что и	4	4
64	и уже	2	4
65	и т	14	4
66	как раз	8	4
67	то и	3	4
68	не может	7	4
69	того чтобы	9	4
70	как будто	4	4
71	только в	4	4
72	как только	3	3
73	бы не	3	3
74	все время	30	3
75	была бы	2	3
76	в них	3	3
77	столь же	2	3
78	с другой	7	3
79	в одном	8	3
80	к себе	2	3
81	что все	3	3
82	в нем	4	3
83	и ее	2	3
84	для нас	8	3
85	всякий раз	3	3
86	самом деле	21	3
87	когда в	4	3
88	одной стороны	5	3
89	было бы	12	3
90	несмотря на	5	3
91	раз в	4	3
92	по преимуществу	2	3
93	в ней	15	3
94	мы уже	7	3
95	в этих	2	3
96	все они	2	3
97	противоречие с	2	3
98	со стороны	2	3
99	все это	3	3
100	не могу	2	3
101	а с	2	3
102	с одной	6	3
103	у всех	4	3
104	едва ли	3	3
105	внимание на	2	3
106	по его	3	3
107	так же	2	3
108	или в	5	3
109	и на	6	3
110	что у	7	3
111	же самое	10	3
112	и это	8	3
113	в основе	3	2
114	это был	2	2
115	место в	3	2
116	автора и	2	2
117	мы читаем	2	2
118	только для	3	2
119	отнюдь не	2	2
120	из этих	3	2
121	вовсе не	8	2
122	со всей	3	2
123	как мы	7	2
124	о которых	9	2
125	она в	3	2
126	от своего	2	2
127	одна из	4	2
128	на этом	5	2
129	с такой	5	2
130	противоречие между	2	2
131	со своей	2	2
132	что не	3	2
133	и к	3	2
134	к ней	2	2
135	все те	2	2
136	до сих	6	2
137	один из	6	2
138	все же	8	2
139	как же	2	2
140	из них	6	2
141	вместе с	5	2
142	дело не	2	2
143	сих пор	5	2
144	данном случае	2	2
145	что же	2	2
146	как на	3	2
147	здесь не	3	2
148	т п	5	2
149	рассказ и	4	2
150	т д	4	2
151	того как	3	2
152	еще и	2	2
153	в двух	9	2
154	не более	2	2
155	хотя бы	2	2
156	и для	4	2
157	с точки	9	2
158	той же	2	2
159	в данном	2	2
160	и то	8	2
161	сказать что	4	2
162	потому что	14	2
163	характера а	2	2
164	однако и	2	2
165	в виде	2	2
166	точки зрения	16	2
167	в другом	5	2
168	что даже	2	2
169	могла бы	3	2
170	и только	3	2
171	его в	3	2
172	она может	3	2
173	та же	3	2
174	рассказа и	2	2
175	но в	3	2
176	том как	2	2
