N	4gram	Tiupa_Teor_1	Hudozhes
1	в то же время	5	6
2	присутствия я в мире	5	4
3	не следует смешивать с	3	3
4	состоит в том что	4	3
5	одного и того же	3	3
6	он тем не менее	2	2
7	объективной предпосылкой эстетического отношения	2	2
8	расположилось в порядке образующем	2	2
9	слове о полку игореве	2	2
10	стихотворении пушкина что в	2	2
11	в войне и мире	2	2
12	и не могло быть	2	2
13	ни в коем случае	2	2
14	в коем случае не	2	2
15	эстетическое отношение представляет собой	2	2
16	коем случае не следует	2	2
17	случае не следует смешивать	2	2
18	в слове о полку	2	2
19	что в имени тебе	2	2
20	все расположилось в порядке	2	2
21	пушкина что в имени	2	2
22	в отношении обратного параллелизма	2	2
23	приводит к тому что	2	2
