N	2gram	Losev_Vlad_2	Vvedenie
1	и в	30	32
2	в том	18	31
3	в этом	20	30
4	может быть	7	26
5	том что	12	26
6	не только	12	22
7	для того	2	21
8	того чтобы	2	20
9	таким образом	3	19
10	также и	6	18
11	то что	20	16
12	потому что	9	15
13	так как	5	15
14	не может	9	14
15	в самом	2	13
16	в нем	4	13
17	о том	4	13
18	со стороны	4	13
19	того что	5	12
20	в общем	2	12
21	в их	2	12
22	и не	18	12
23	в его	11	12
24	только в	6	12
25	как мы	11	11
26	в данном	3	11
27	что в	12	10
28	но в	8	9
29	и как	3	9
30	по себе	5	9
31	то же	4	9
32	в той	2	9
33	не менее	7	8
34	это не	2	8
35	тем не	6	8
36	не в	9	8
37	именно в	4	8
38	прежде всего	6	7
39	точки зрения	7	7
40	уже и	2	7
41	но не	3	7
42	было бы	9	7
43	все же	9	7
44	можно было	2	7
45	из этих	3	6
46	же время	3	6
47	том чтобы	2	6
48	но и	8	6
49	все это	5	6
50	и даже	10	6
51	в то	9	6
52	его в	4	6
53	как он	2	6
54	с тем	2	6
55	вовсе не	4	6
56	как и	5	6
57	а именно	6	6
58	хотя бы	3	6
59	и его	6	6
60	и это	3	6
61	уже в	3	5
62	так что	5	5
63	на этот	4	5
64	как бы	5	5
65	в целом	4	5
66	данном случае	2	5
67	сказать что	11	5
68	в них	3	5
69	быть в	3	5
70	об этом	6	5
71	по своему	2	5
72	есть и	2	5
73	не есть	4	5
74	вместе с	8	5
75	в течение	5	5
76	а не	7	5
77	что не	2	5
78	с этой	4	4
79	о чем	6	4
80	всяком случае	6	4
81	в котором	5	4
82	так или	3	4
83	еще и	6	4
84	и что	5	4
85	не имеет	2	4
86	а в	11	4
87	даже и	3	4
88	как это	7	4
89	в чисто	2	4
90	должен был	3	4
91	по крайней	4	4
92	что он	13	4
93	крайней мере	4	4
94	в своей	5	4
95	в виде	3	4
96	уже не	3	4
97	и для	3	4
98	той же	4	4
99	или иначе	3	4
100	и то	5	4
101	во всяком	6	4
102	само по	2	4
103	в себе	6	4
104	совсем не	4	3
105	он сам	2	3
106	что это	4	3
107	и есть	2	3
108	в частности	2	3
109	в этих	4	3
110	в конце	13	3
111	можно сказать	4	3
112	к тому	2	3
113	да и	3	3
114	но все	2	3
115	в этой	4	3
116	на этом	2	3
117	но что	5	3
118	до конца	7	3
119	при этом	5	3
120	такого рода	2	3
121	хотя и	6	3
122	в ней	4	3
123	не вполне	2	3
124	в виду	2	3
125	то это	4	3
126	к нему	2	3
127	мы видели	2	3
128	отношение к	4	3
129	во второй	2	3
130	в своем	8	3
131	все эти	5	3
132	и вот	3	3
133	заключается в	2	3
134	так же	4	3
135	и на	4	3
136	в работе	2	3
137	в результате	5	3
138	в начале	4	3
139	тогда когда	2	3
140	нисколько не	2	3
141	однако в	2	3
142	к этому	6	3
143	история и	2	3
144	и к	6	3
145	связи с	8	3
146	в чем	2	3
147	в сущности	2	3
148	отчет в	2	3
149	а также	10	3
150	гораздо более	2	3
151	что и	3	3
152	дело в	3	3
153	в очень	3	3
154	что же	8	3
155	и вообще	10	3
156	как будто	2	3
157	или как	2	3
158	в области	3	3
159	казалось бы	2	2
160	никогда не	7	2
161	в отношении	3	2
162	само собой	3	2
163	точно так	3	2
164	это в	3	2
165	в дальнейшем	5	2
166	из его	2	2
167	но это	4	2
168	философии и	3	2
169	что если	2	2
170	в совокупности	2	2
171	и сам	2	2
172	несмотря на	4	2
173	говоря уже	2	2
174	не говоря	3	2
175	но дело	2	2
176	в связи	8	2
177	что можно	3	2
178	не было	10	2
179	же касается	5	2
180	не мог	8	2
181	должно быть	3	2
182	не столько	3	2
183	в более	2	2
184	и с	14	2
185	с этим	5	2
186	он и	3	2
187	этому времени	2	2
188	конце концов	3	2
189	когда мы	3	2
190	так и	5	2
191	этого не	2	2
192	на котором	2	2
193	и представить	2	2
194	у нас	6	2
195	по существу	3	2
196	невозможно но	2	2
197	и при	2	2
198	тем более	3	2
199	учение о	3	2
200	того же	5	2
201	во всех	3	2
202	мы должны	4	2
203	жизни и	6	2
204	бы с	2	2
205	мы уже	2	2
206	себе и	2	2
207	ни с	2	2
208	том же	3	2
209	и до	2	2
210	был в	2	2
211	этой книги	2	2
212	но уже	2	2
213	него в	4	2
214	с ней	2	2
215	мысли и	2	2
216	и всего	2	2
217	второй половине	2	2
218	того как	2	2
219	в печати	2	2
220	те кто	2	2
221	с точки	3	2
222	мы не	2	2
223	которое в	2	2
224	на свои	2	2
225	время в	4	2
226	будто бы	2	2
227	иной раз	2	2
228	при жизни	2	2
229	здесь не	4	2
230	ничего не	2	2
231	не могли	3	2
