N	2gram	Berdyaev_O_1	Freidism
1	и не	13	23
2	не может	4	20
3	прежде всего	9	18
4	в этом	12	15
5	в его	7	15
6	в душе	2	13
7	может быть	11	13
8	и его	4	12
9	как и	6	11
10	как бы	3	11
11	то что	5	11
12	все эти	4	11
13	и потому	2	10
14	так и	2	10
15	его в	2	10
16	с ним	3	10
17	но в	2	10
18	с его	4	9
19	и в	19	9
20	все что	3	8
21	что он	3	8
22	еще не	3	8
23	в своей	2	8
24	он не	7	8
25	не только	11	8
26	все это	6	8
27	и все	10	8
28	так как	2	8
29	к нему	3	7
30	отношение к	5	7
31	в самом	5	7
32	что же	2	7
33	сказать что	2	7
34	никогда не	9	6
35	и ее	3	6
36	для него	5	6
37	того что	3	6
38	хотя бы	3	6
39	и с	2	6
40	и к	2	5
41	он сам	4	5
42	не в	11	5
43	в этой	5	5
44	что в	4	5
45	но и	13	5
46	для того	3	5
47	а в	5	5
48	и на	2	5
49	могут быть	3	5
50	в этих	3	4
51	и о	2	4
52	в нем	10	4
53	все же	2	4
54	не было	9	4
55	того чтобы	4	4
56	и для	2	4
57	совсем не	2	4
58	в которой	2	4
59	потому что	9	4
60	не могут	3	3
61	о которой	2	3
62	и есть	3	3
63	и от	3	3
64	что все	2	3
65	в себе	3	3
66	он был	8	3
67	человека к	2	3
68	учение о	2	3
69	было бы	3	3
70	ее в	2	3
71	когда он	3	3
72	мысли и	3	3
73	и вот	3	3
74	у него	22	3
75	и этим	2	3
76	человека и	10	3
77	уже в	2	2
78	человека в	11	2
79	и ни	2	2
80	это не	3	2
81	к этому	2	2
82	человек не	7	2
83	в ее	2	2
84	до конца	7	2
85	том что	2	2
86	из всего	2	2
87	а не	11	2
88	в своем	2	2
89	в этот	2	2
90	и мысли	4	2
91	влечет к	3	2
92	и то	2	2
93	в своих	3	2
94	что и	2	2
95	в другом	2	2
96	в глубине	7	2
97	это было	3	2
