N	2gram	Medvedev_F_1	VerxiiNi
1	и в	24	26
2	таким образом	13	22
3	с тем	2	18
4	вместе с	2	15
5	в этом	15	15
6	точки зрения	16	13
7	как бы	6	12
8	в том	6	11
9	может быть	14	10
10	не только	7	10
11	и с	8	10
12	связи с	3	9
13	что в	4	9
14	но и	7	9
15	в области	3	9
16	с другой	5	8
17	главным образом	4	8
18	но не	3	8
19	в общем	3	8
20	и не	20	8
21	как на	4	8
22	но все	2	7
23	одной стороны	4	7
24	то что	8	7
25	с одной	4	7
26	но в	5	7
27	к тому	3	6
28	и потому	9	6
29	всяком случае	4	6
30	что и	2	6
31	все же	3	6
32	так и	18	6
33	все это	9	6
34	в отношении	3	6
35	все эти	6	6
36	с точки	13	6
37	во всяком	4	6
38	в себе	3	6
39	и к	4	5
40	отношение к	3	5
41	до сих	6	5
42	одной из	2	5
43	в его	23	5
44	никогда не	4	5
45	сих пор	6	5
46	или менее	6	5
47	так же	4	5
48	лишь в	8	5
49	а не	10	5
50	в мире	4	5
51	более или	6	5
52	учение о	4	4
53	и от	7	4
54	что он	3	4
55	в нем	14	4
56	в самом	5	4
57	целый ряд	3	4
58	не может	16	4
59	а в	6	4
60	то же	10	4
61	и что	2	4
62	с другими	4	4
63	ничем не	3	4
64	он не	3	4
65	в то	9	4
66	только в	2	4
67	в этой	6	4
68	не менее	11	3
69	же как	2	3
70	если бы	4	3
71	как о	4	3
72	хотя бы	5	3
73	ясно что	3	3
74	для него	3	3
75	и как	3	3
76	в своем	11	3
77	на западе	4	3
78	и если	2	3
79	отношению к	4	3
80	когда он	3	3
81	в связи	4	3
82	при этом	5	3
83	культуры и	3	3
84	уже не	2	3
85	того что	5	3
86	и даже	3	3
87	в которой	4	3
88	и те	2	3
89	у них	3	3
90	или иначе	2	3
91	с этой	4	3
92	в результате	2	3
93	на нее	2	3
94	в одном	2	3
95	с его	4	2
96	ни было	2	2
97	он в	2	2
98	только не	2	2
99	именно в	8	2
100	перестает быть	3	2
101	при таком	4	2
102	в них	3	2
103	и особенно	2	2
104	не как	4	2
105	на все	3	2
106	прежде всего	22	2
107	в свою	8	2
108	и здесь	6	2
109	по существу	2	2
110	то ни	3	2
111	мы видели	2	2
112	же время	8	2
113	так например	3	2
114	еще не	6	2
115	со всеми	3	2
116	конечно не	4	2
117	и является	2	2
118	не могло	5	2
119	один из	3	2
120	не с	2	2
121	бы то	3	2
122	жизни и	7	2
123	во всех	5	2
124	в процессе	9	2
125	быть и	4	2
126	в создании	2	2
127	приводит к	2	2
128	отличается от	3	2
129	для этого	4	2
130	особенно в	3	2
131	не было	3	2
132	в самой	2	2
133	наконец в	3	2
134	его не	2	2
135	из этой	2	2
136	и на	8	2
137	не в	8	2
138	и наконец	3	2
139	не могла	2	2
140	и все	6	2
141	и это	2	2
142	в россии	3	2
143	в эту	2	2
144	к которому	2	2
145	между тем	2	2
