N	3gram	Bakhtin_Pr_1	Problema
1	в том что	7	9
2	в данном случае	2	7
3	и в этом	3	6
4	сами по себе	3	6
5	во всяком случае	3	6
6	по крайней мере	2	5
7	с другой стороны	2	5
8	не может быть	3	5
9	в то время	2	4
10	в то же	7	4
11	бы то ни	3	4
12	потому что он	2	4
13	то ни было	2	3
14	можно было бы	3	3
15	о том что	2	3
16	в конце концов	4	3
17	само по себе	2	3
18	именно потому что	2	3
19	заключается в том	2	3
20	то есть в	3	3
21	что он есть	2	2
22	с точки зрения	15	2
23	в отличие от	2	2
24	можно сказать что	2	2
25	только то что	2	2
26	до сих пор	2	2
27	на самом деле	3	2
