N	2gram	Losev_Vesc_1	Mirosoze
1	и в	21	46
2	в нем	2	22
3	это –	25	22
4	у него	2	22
5	может быть	16	21
6	в этом	4	20
7	никогда не	2	18
8	для него	4	18
9	и не	29	18
10	не только	36	18
11	есть лишь	2	17
12	но и	18	15
13	не может	17	15
14	как и	8	13
15	не есть	49	13
16	а не	19	13
17	прежде всего	9	12
18	потому что	16	12
19	в ней	12	11
20	но он	2	11
21	у нас	7	11
22	но в	5	10
23	в себе	14	10
24	не в	5	9
25	и есть	26	8
26	но это	10	8
27	как бы	12	8
28	в своем	6	8
29	так как	7	8
30	она не	4	8
31	в этой	3	7
32	и потому	5	7
33	хотя бы	6	7
34	и для	9	7
35	что это	13	6
36	того что	8	6
37	и здесь	4	6
38	жизни и	2	6
39	то же	6	5
40	я не	4	5
41	бы и	5	5
42	в отношении	4	5
43	что все	2	5
44	и вот	2	5
45	есть прежде	2	5
46	в самом	9	5
47	один из	3	5
48	что она	15	5
49	это не	5	5
50	в конце	2	5
51	и все	5	5
52	есть не	14	5
53	к тому	3	5
54	по преимуществу	2	5
55	то что	27	5
56	в своей	5	5
57	для того	2	5
58	и его	2	5
59	образ и	3	5
60	в его	2	5
61	и это	14	5
62	что в	9	4
63	тому что	2	4
64	для этого	4	4
65	только и	2	4
66	что у	5	4
67	должны быть	4	4
68	также и	6	4
69	в жизни	3	4
70	в свою	4	4
71	том что	8	4
72	должен быть	2	4
73	что и	3	4
74	себя в	10	4
75	так и	3	4
76	т е	55	4
77	уже не	9	4
78	того чтобы	3	4
79	можно ли	7	3
80	себя и	4	3
81	и от	3	3
82	идеи и	3	3
83	в том	8	3
84	с самим	4	3
85	что они	6	3
86	же есть	2	3
87	момент в	6	3
88	– не	9	3
89	сказать что	17	3
90	и с	8	3
91	что иное	7	3
92	по своей	2	3
93	о том	6	3
94	его в	2	3
95	в россии	2	3
96	с ним	8	3
97	иное как	7	3
98	если бы	5	3
99	и во	3	3
100	не что	7	3
101	это и	6	3
102	есть и	4	3
103	не будет	12	3
104	от того	3	3
105	все равно	2	3
106	той же	2	3
107	тем что	2	3
108	только в	14	3
109	только с	3	3
110	в чем	6	3
111	но на	2	2
112	мы еще	2	2
113	всегда есть	3	2
114	я и	6	2
115	да и	3	2
116	так что	5	2
117	это есть	7	2
118	тут не	5	2
119	в действительности	7	2
120	и если	2	2
121	со своим	7	2
122	она есть	8	2
123	но для	2	2
124	хотя и	4	2
125	в сфере	4	2
126	только это	3	2
127	но она	3	2
128	что есть	5	2
129	как к	4	2
130	в разных	4	2
131	у всех	3	2
132	чем не	2	2
133	должно быть	6	2
134	и самосознание	2	2
135	а в	4	2
136	к себе	4	2
137	в основе	3	2
138	точки зрения	5	2
139	самим собою	2	2
140	в мысли	3	2
141	не случайно	2	2
142	бы в	5	2
143	е в	7	2
144	на этом	2	2
145	есть еще	3	2
146	с собой	2	2
147	и самое	2	2
148	– в	5	2
149	себе в	3	2
150	тогда когда	5	2
151	по себе	13	2
152	– то	2	2
153	есть ли	6	2
154	мы видим	2	2
155	то в	4	2
156	нельзя было	4	2
157	и что	15	2
158	тот же	3	2
159	в сущности	4	2
160	во всех	2	2
161	к ней	2	2
162	как ее	2	2
163	оно не	3	2
164	и возможно	2	2
165	что же	8	2
166	если я	6	2
167	еще более	2	2
168	но с	2	2
169	что не	5	2
170	и эта	3	2
171	вот почему	3	2
172	можно было	2	2
173	тому как	4	2
174	нас в	3	2
175	от этого	2	2
176	сам по	3	2
177	подобно тому	4	2
178	от его	2	2
179	есть момент	2	2
180	ничего не	3	2
