N	2gram	Losev_Dial_1	Vladivir
1	и в	18	30
2	то что	13	20
3	в этом	12	20
4	в том	9	18
5	и не	30	18
6	и с	5	14
7	что он	11	13
8	в конце	4	13
9	том что	9	12
10	что в	13	12
11	не только	13	12
12	в его	3	11
13	а в	5	11
14	как мы	4	11
15	сказать что	10	11
16	и вообще	4	10
17	и даже	13	10
18	не было	6	10
19	не в	6	9
20	для него	2	9
21	было бы	12	9
22	все же	5	9
23	потому что	14	9
24	не может	12	9
25	в то	6	9
26	в своем	5	8
27	но и	7	8
28	что же	3	8
29	но в	6	8
30	не менее	2	7
31	никогда не	9	7
32	точки зрения	17	7
33	и все	3	7
34	ни в	15	7
35	может быть	17	7
36	а не	14	7
37	как это	4	7
38	еще и	3	6
39	хотя и	4	6
40	к этому	2	6
41	прежде всего	10	6
42	об этом	4	6
43	только в	3	6
44	всяком случае	2	6
45	во всяком	4	6
46	в себе	11	6
47	жизни и	3	6
48	также и	7	6
49	о чем	2	6
50	и то	9	5
51	по себе	25	5
52	как и	2	5
53	так что	15	5
54	в дальнейшем	5	5
55	то в	7	5
56	но что	3	5
57	в своей	2	5
58	как бы	11	5
59	в котором	4	5
60	другими словами	2	5
61	так и	9	5
62	все это	11	5
63	с этим	2	5
64	это мы	4	5
65	и что	12	5
66	того что	2	5
67	все эти	2	5
68	так как	11	5
69	с ним	6	5
70	содержит в	3	4
71	именно в	2	4
72	с этой	2	4
73	эти последние	2	4
74	я не	5	4
75	вовсе не	7	4
76	можно сказать	6	4
77	что это	11	4
78	конечно не	3	4
79	несмотря на	10	4
80	и мы	5	4
81	и о	3	4
82	в ней	3	4
83	он не	3	4
84	в нем	16	4
85	то это	4	4
86	не есть	40	4
87	крайней мере	4	4
88	в этих	5	4
89	со стороны	2	4
90	то же	10	4
91	ко всему	2	4
92	и он	5	4
93	так же	4	4
94	но это	8	4
95	мы должны	5	4
96	о том	4	4
97	по крайней	4	4
98	отношение к	5	4
99	это было	2	4
100	для меня	4	4
101	учение о	11	3
102	всех этих	3	3
103	в них	3	3
104	в отношении	5	3
105	хотя бы	6	3
106	из этих	2	3
107	точно так	2	3
108	что касается	2	3
109	же время	4	3
110	быть в	2	3
111	что и	3	3
112	да и	6	3
113	и как	7	3
114	можно говорить	2	3
115	тем более	2	3
116	что я	3	3
117	более или	3	3
118	но не	4	3
119	он и	2	3
120	в данном	3	3
121	и для	2	3
122	вплоть до	3	3
123	никак не	6	3
124	еще более	3	3
125	с точки	12	3
126	или менее	3	3
127	как в	2	3
128	отношения к	3	3
129	только и	4	3
130	и вот	6	3
131	и больше	2	3
132	уже не	2	3
133	должно быть	3	3
134	в виде	2	3
135	даже и	3	3
136	к ней	4	3
137	я в	2	3
138	говоря о	2	3
139	но вот	3	3
140	и это	2	3
141	конце концов	3	3
142	учения о	2	3
143	не то	6	3
144	а он	3	2
145	как у	2	2
146	к нему	8	2
147	даже больше	2	2
148	он сам	5	2
149	нисколько не	4	2
150	уже и	3	2
151	и есть	16	2
152	очень много	3	2
153	он на	2	2
154	больше того	4	2
155	это не	9	2
156	и от	2	2
157	раз и	2	2
158	имеет никакого	3	2
159	мы сами	2	2
160	не был	2	2
161	здесь в	2	2
162	же это	3	2
163	к тому	4	2
164	от всякой	2	2
165	есть для	2	2
166	только тогда	2	2
167	которой не	3	2
168	на этом	2	2
169	есть и	5	2
170	и может	2	2
171	совершенно ничего	2	2
172	само по	5	2
173	она не	6	2
174	о своем	2	2
175	и из	3	2
176	себе и	2	2
177	в самом	3	2
178	не могу	4	2
179	в частности	2	2
180	есть просто	3	2
181	ни с	6	2
182	же и	2	2
183	на то	5	2
184	и потому	3	2
185	для того	2	2
186	в виду	5	2
187	время как	2	2
188	даже в	3	2
189	гораздо более	3	2
190	не имеет	15	2
191	но уже	2	2
192	с ней	2	2
193	ее на	2	2
194	ровно ничего	5	2
195	в их	3	2
196	есть нечто	10	2
197	нужно понимать	2	2
198	стремится к	2	2
199	собственно говоря	4	2
200	иной раз	2	2
201	на земле	2	2
202	и притом	4	2
203	но все	3	2
204	мы находим	7	2
205	что не	7	2
206	в чем	6	2
207	относиться к	3	2
208	его не	6	2
209	что для	3	2
210	которое в	2	2
211	можно было	5	2
212	это значит	11	2
213	мысли и	3	2
214	и при	2	2
215	сам по	6	2
216	не о	4	2
217	и вы	3	2
218	или по	2	2
219	что если	2	2
220	как он	4	2
221	и жизни	4	2
222	это за	2	2
223	ничего не	17	2
