N	2gram	Berdyaev_N_1	KulturaY
1	в том	8	30
2	и в	16	24
3	потому что	4	23
4	том что	2	21
5	что в	9	17
6	того чтобы	2	17
7	и пр	3	15
8	в этом	7	14
9	может быть	7	13
10	и не	11	12
11	не в	6	11
12	не только	5	10
13	хотя бы	2	10
14	то что	4	9
15	прежде всего	4	9
16	о том	4	9
17	том чтобы	2	8
18	уже не	2	8
19	а не	17	8
20	не менее	4	7
21	в них	4	7
22	с другой	3	7
23	вместе с	2	7
24	не может	16	7
25	это не	4	7
26	так и	2	7
27	что такое	3	6
28	в ней	5	6
29	но и	3	6
30	все это	5	6
31	другой стороны	2	6
32	можно было	2	6
33	все эти	2	6
34	с тем	3	5
35	к тому	3	5
36	но не	2	5
37	еще не	3	5
38	и что	2	5
39	а в	2	5
40	xix века	5	5
41	и с	2	5
42	с его	6	4
43	и потому	4	4
44	в нем	5	4
45	по существу	2	4
46	есть в	2	4
47	это и	2	4
48	должен быть	5	4
49	не есть	3	4
50	как в	3	4
51	с этим	2	4
52	так же	2	4
53	роль в	2	4
54	и на	2	4
55	в русском	2	4
56	для этого	2	3
57	в духе	3	3
58	этом смысле	2	3
59	не имеют	2	3
60	в истории	3	3
61	что она	2	3
62	не было	4	3
63	есть лишь	4	3
64	и даже	2	3
65	должно быть	4	3
66	должна быть	3	3
67	с их	2	3
68	хотя и	2	3
69	в себе	2	3
70	как это	2	3
71	я не	2	2
72	том и	2	2
73	и есть	10	2
74	никогда не	6	2
75	и все	4	2
76	что все	2	2
77	вопрос о	3	2
78	быть в	2	2
79	в смысле	2	2
80	в то	2	2
81	как и	7	2
82	это есть	7	2
83	ли это	2	2
84	и мы	4	2
85	конечно не	3	2
86	в своей	3	2
87	к жизни	3	2
88	ни в	6	2
89	и было	2	2
90	мы говорим	2	2
91	он не	8	2
92	и для	4	2
93	лишь в	6	2
94	не имеет	4	2
95	когда мы	2	2
96	и должно	2	2
97	но в	2	2
98	это было	3	2
