N	2gram	Medvedev_F_2	Istorich
1	и в	38	26
2	т е	26	22
3	так как	4	18
4	никогда не	2	13
5	потому что	2	13
6	что в	7	12
7	таким образом	20	12
8	в том	11	12
9	и на	3	12
10	в этом	27	12
11	мы видели	4	11
12	может быть	23	11
13	с другой	3	10
14	том что	2	10
15	и т	14	10
16	и не	20	10
17	не только	9	10
18	представление о	2	9
19	что он	5	9
20	но и	13	9
21	а именно	2	9
22	в нем	13	8
23	все же	8	8
24	вместе с	6	8
25	другой стороны	4	8
26	т д	5	8
27	все эти	6	8
28	и это	2	8
29	с ним	2	8
30	превращается в	2	7
31	уже не	7	7
32	например в	3	7
33	и его	21	7
34	но в	4	7
35	то что	6	6
36	в ином	3	6
37	ее в	2	6
38	как в	4	6
39	так в	3	6
40	не может	14	6
41	и с	9	6
42	мы не	3	6
43	как и	9	5
44	в ней	6	5
45	в его	10	5
46	то это	3	5
47	не будет	2	5
48	так и	8	5
49	то же	6	5
50	как это	2	5
51	тем что	8	5
52	в то	5	5
53	только в	6	5
54	его в	3	5
55	там где	4	5
56	и этим	2	5
57	с тем	11	4
58	это не	2	4
59	из этих	3	4
60	прежде всего	15	4
61	с его	11	4
62	но это	2	4
63	как бы	4	4
64	и тем	2	4
65	что и	8	4
66	что оно	4	4
67	как мы	7	4
68	и по	2	4
69	в других	7	4
70	но как	2	4
71	борьбы с	2	3
72	при помощи	2	3
73	и ее	6	3
74	независимо от	4	3
75	и другие	2	3
76	если бы	5	3
77	могут быть	6	3
78	на котором	2	3
79	и от	2	3
80	должна быть	5	3
81	к этому	4	3
82	в тех	2	3
83	на первый	2	3
84	не в	15	3
85	от него	2	3
86	такой же	3	3
87	же как	3	3
88	они не	4	3
89	в качестве	2	3
90	кроме того	2	3
91	она не	2	3
92	не происходит	2	3
93	главным образом	3	3
94	его с	3	3
95	один из	2	3
96	в своей	7	3
97	из этого	2	3
98	со стороны	2	3
99	а в	6	3
100	при этом	9	3
101	и других	2	3
102	и наконец	4	3
103	или в	3	3
104	и то	2	3
105	та же	2	3
106	их в	2	3
107	сказать что	2	3
108	и только	5	3
109	не было	6	3
110	от этого	3	3
111	перед нами	2	2
112	все время	6	2
113	и как	3	2
114	в этих	2	2
115	от нее	4	2
116	становится и	2	2
117	здесь и	4	2
118	в одной	2	2
119	с этим	5	2
120	первый план	2	2
121	вовсе не	11	2
122	к тому	4	2
123	сводится к	5	2
124	мы знаем	3	2
125	он был	2	2
126	но все	3	2
127	что они	4	2
128	но не	2	2
129	еще одну	2	2
130	было бы	6	2
131	не так	2	2
132	всяком случае	5	2
133	и др	3	2
134	даже в	2	2
135	не есть	3	2
136	не имеет	2	2
137	жизни и	3	2
138	в некоторых	4	2
139	ни в	2	2
140	и до	3	2
141	что же	5	2
142	то и	3	2
143	или же	2	2
144	он не	6	2
145	должны были	2	2
146	он становится	3	2
147	именно на	3	2
148	и другое	2	2
149	тем самым	2	2
150	а не	6	2
151	того что	3	2
152	что не	4	2
153	его не	2	2
154	с ними	2	2
155	во всяком	5	2
156	говорит он	5	2
157	он и	3	2
158	зависимости от	3	2
159	в этой	6	2
160	что это	3	2
161	здесь не	4	2
162	из него	2	2
163	отметить что	2	2
164	ничего не	4	2
