N	2gram	Bakhtin_fo_1	Tvorches
1	и в	50	20
2	в романе	32	15
3	не только	9	13
4	и т	8	13
5	в романах	2	13
6	никогда не	2	11
7	как бы	2	11
8	в его	13	10
9	таким образом	11	10
10	в то	9	10
11	и его	16	9
12	и не	14	9
13	прежде всего	15	8
14	в том	9	8
15	при этом	3	8
16	но и	8	8
17	может быть	11	8
18	в этом	25	8
19	и с	4	8
20	это не	6	7
21	же время	9	7
22	наряду с	5	7
23	что в	5	7
24	не может	6	7
25	то же	11	7
26	потому что	4	7
27	у него	6	6
28	в конце	9	6
29	как и	8	6
30	в целом	2	6
31	в своей	2	6
32	так и	12	6
33	все это	4	6
34	именно в	3	6
35	а не	3	6
36	в основном	5	6
37	еще не	5	5
38	но не	5	5
39	например в	6	5
40	все же	6	5
41	и даже	2	5
42	так же	6	5
43	и на	8	5
44	то есть	33	5
45	об этом	2	4
46	мы не	3	4
47	в соответствии	2	4
48	том что	4	4
49	в дальнейшем	6	4
50	мы видим	3	4
51	соответствии с	2	4
52	отнюдь не	5	4
53	хотя и	3	4
54	как в	6	4
55	все эти	9	4
56	не в	5	4
57	а в	3	4
58	в чем	2	4
59	и потому	3	4
60	ничего не	9	4
61	если бы	5	4
62	но в	10	4
63	место в	2	3
64	же как	2	3
65	жизни в	8	3
66	человека и	11	3
67	в образе	5	3
68	к этому	3	3
69	с ним	2	3
70	отношению к	5	3
71	одна из	2	3
72	для него	2	3
73	что не	3	3
74	одной из	3	3
75	в самом	8	3
76	он не	5	3
77	в котором	4	3
78	и др	9	3
79	не является	2	3
80	один из	3	3
81	в нем	24	3
82	то что	6	3
83	и это	4	3
84	вместе с	3	3
85	сих пор	3	3
86	в их	6	3
87	по отношению	3	3
88	так как	6	3
89	человека в	17	3
90	уже не	2	3
91	романа и	3	3
92	в таком	3	3
93	тем что	2	3
94	в которых	2	3
95	в себе	3	3
96	в начале	3	3
97	его в	3	3
98	нет ничего	4	3
99	до сих	3	3
100	ни к	3	2
101	уже в	2	2
102	весь роман	2	2
103	в роман	4	2
104	в быту	3	2
105	его и	2	2
106	точку зрения	2	2
107	с другой	2	2
108	в стороне	2	2
109	в одном	3	2
110	вовсе не	13	2
111	в этот	2	2
112	во всяком	3	2
113	и ее	3	2
114	в литературе	16	2
115	в ее	6	2
116	тому же	2	2
117	более того	3	2
118	характер в	2	2
119	xviii века	3	2
120	в частности	6	2
121	том же	2	2
122	к жизни	2	2
123	нет и	2	2
124	в честь	2	2
125	по преимуществу	3	2
126	в процессе	4	2
127	в истории	2	2
128	как по	2	2
129	в отличие	2	2
130	т п	8	2
131	не было	7	2
132	и других	3	2
133	но эта	3	2
134	образ человека	6	2
135	всякого рода	2	2
136	и у	5	2
137	характера в	2	2
138	и по	2	2
139	во многом	2	2
140	друг друга	3	2
141	рядом с	2	2
142	роль в	9	2
143	с другими	3	2
144	имеет в	2	2
145	в основе	5	2
146	могут быть	5	2
147	в которой	2	2
148	и еще	2	2
149	и вообще	2	2
150	только в	4	2
151	героя и	7	2
152	сюжета и	2	2
153	так сказать	7	2
154	их в	3	2
155	отличие от	2	2
