N	2gram	Bakhtin_sl_2	Literetu
1	и не	22	22
2	и в	39	16
3	х годов	2	15
4	при этом	7	15
5	не только	24	14
6	но и	21	14
7	в этом	16	14
8	а не	14	12
9	то что	2	12
10	может быть	37	12
11	в том	5	12
12	не в	9	10
13	то же	4	9
14	так и	15	9
15	в то	4	9
16	том что	5	8
17	не может	20	8
18	как бы	7	8
19	в противовес	2	7
20	же время	4	7
21	себя в	8	7
22	точки зрения	8	7
23	только в	5	7
24	с его	7	6
25	с другой	5	6
26	еще не	7	6
27	в его	7	6
28	и т.п	2	6
29	и его	33	6
30	в себе	2	6
31	в другом	2	6
32	о том	2	6
33	это не	5	5
34	что он	2	5
35	как и	6	5
36	лишь в	3	5
37	вместе с	2	5
38	как в	13	5
39	а именно	2	5
40	в отличие	12	5
41	а в	4	5
42	этом отношении	3	5
43	именно в	2	5
44	в основе	4	5
45	то есть	26	5
46	в поэзии	2	5
47	отличие от	13	5
48	но не	6	4
49	никогда не	7	4
50	однако в	2	4
51	даже в	2	4
52	до конца	17	4
53	одной стороны	5	4
54	и для	5	4
55	одним из	2	4
56	хотя и	2	4
57	отношению к	4	4
58	по отношению	4	4
59	жизни в	2	4
60	входит в	4	4
61	с одной	5	4
62	а также	3	4
63	в данном	2	4
64	в одном	2	4
65	ни к	2	3
66	прежде всего	8	3
67	более того	2	3
68	в романе	46	3
69	и как	3	3
70	например в	5	3
71	и к	6	3
72	на его	2	3
73	наконец в	4	3
74	в слове	6	3
75	с ее	2	3
76	жизни и	6	3
77	бы и	3	3
78	уже не	5	3
79	и наконец	5	3
80	с точки	3	3
81	той же	3	3
82	там где	6	3
83	как это	3	3
84	отношения к	4	3
85	в области	2	3
86	но в	6	3
87	между тем	3	3
88	а лишь	2	2
89	что в	3	2
90	не менее	4	2
91	все они	2	2
92	как о	2	2
93	оно не	8	2
94	не всегда	2	2
95	романа и	5	2
96	по себе	5	2
97	стороны и	3	2
98	или иной	5	2
99	в нем	19	2
100	и при	2	2
101	связи с	3	2
102	в свою	3	2
103	для него	7	2
104	со всеми	2	2
105	во всех	12	2
106	здесь это	2	2
107	той или	5	2
108	о нем	2	2
109	себя и	4	2
110	один из	5	2
111	не с	3	2
112	что и	3	2
113	все же	6	2
114	оставляет в	2	2
115	отношение к	4	2
116	как мы	7	2
117	как например	2	2
118	человека в	5	2
119	того чтобы	2	2
120	для того	2	2
121	и даже	7	2
122	с ними	5	2
123	и на	4	2
124	и с	9	2
125	автора и	2	2
126	эти слова	2	2
127	далеко не	2	2
128	xix века	4	2
129	еще раз	3	2
130	не знает	2	2
131	установка на	2	2
132	его в	4	2
133	и потому	7	2
134	здесь не	4	2
135	здесь как	2	2
136	мира и	5	2
137	вне себя	2	2
