N	2gram	Trubetskoy_1	Psycholo
1	то что	13	37
2	и в	14	30
3	в том	17	27
4	что в	4	24
5	и что	2	23
6	потому что	5	23
7	том что	9	21
8	для того	6	20
9	таким образом	11	20
10	того чтобы	8	20
11	как бы	4	19
12	что он	6	17
13	на то	5	17
14	не только	9	16
15	в самом	3	14
16	в этом	17	14
17	так же	2	13
18	вместе с	4	12
19	если бы	6	11
20	может быть	9	11
21	как на	8	11
22	о том	7	10
23	никогда не	5	9
24	для этого	3	9
25	не может	22	9
26	и то	4	9
27	так как	4	9
28	с тем	6	8
29	что это	3	8
30	тому что	2	8
31	он должен	5	8
32	к тому	7	8
33	не в	4	8
34	а не	2	8
35	при этом	5	8
36	того что	3	8
37	самом деле	7	8
38	по себе	2	7
39	в нем	5	7
40	и как	3	7
41	но не	4	7
42	мы можем	2	7
43	все же	4	7
44	и т	3	7
45	то же	11	7
46	точки зрения	11	7
47	ясно что	2	6
48	в своем	6	6
49	именно в	3	6
50	как и	4	6
51	что с	2	6
52	и если	7	6
53	совершенно не	2	6
54	и тем	2	6
55	и для	6	6
56	но и	10	6
57	в совершенно	4	6
58	что все	3	6
59	что оно	3	6
60	и не	19	6
61	жизни и	4	6
62	факт что	2	6
63	или в	3	6
64	тем что	3	6
65	мы уже	2	6
66	о котором	3	6
67	как будто	2	6
68	и есть	2	5
69	по этому	2	5
70	совершенно очевидно	2	5
71	несмотря на	3	5
72	и потому	3	5
73	в этой	4	5
74	что они	3	5
75	еще не	3	5
76	до сих	5	5
77	было бы	5	5
78	стоит только	2	5
79	сих пор	5	5
80	а с	2	5
81	сводится к	3	5
82	именно на	2	5
83	в своих	6	5
84	в себе	9	5
85	но в	2	5
86	только в	5	5
87	в результате	2	4
88	в частности	2	4
89	от него	2	4
90	этот вопрос	2	4
91	тот факт	2	4
92	прежде всего	8	4
93	то это	3	4
94	указывает на	2	4
95	и к	6	4
96	в своей	5	4
97	от того	4	4
98	в ней	2	4
99	в его	4	4
100	не есть	3	4
101	только на	2	4
102	а в	5	4
103	из которых	5	4
104	мы говорили	3	4
105	в конце	3	4
106	не можем	2	4
107	не могут	4	3
108	у него	2	3
109	хотя бы	5	3
110	из этих	3	3
111	это в	2	3
112	состоит в	2	3
113	вопрос о	5	3
114	для нас	2	3
115	так что	2	3
116	это есть	2	3
117	одна из	3	3
118	лучшем случае	3	3
119	для него	6	3
120	друг с	14	3
121	он не	5	3
122	что и	3	3
123	ни в	2	3
124	данном случае	3	3
125	со стороны	4	3
126	в их	4	3
127	это только	2	3
128	и только	5	3
129	идет речь	4	3
130	и сейчас	3	3
131	и о	2	3
132	с другом	14	3
133	и наконец	2	3
134	в таком	2	3
135	смотреть на	4	3
136	целый ряд	2	3
137	в лучшем	3	3
138	можно было	4	3
139	в силу	2	3
140	и на	5	3
141	в данном	7	3
142	в другом	3	3
143	мы должны	7	3
144	в этих	2	3
145	связи с	3	2
146	знаем что	3	2
147	себя и	5	2
148	от этой	2	2
149	представить себе	2	2
150	между собой	5	2
151	бы его	2	2
152	с этим	2	2
153	их не	2	2
154	в положении	3	2
155	или иной	5	2
156	этом случае	3	2
157	по существу	5	2
158	и при	6	2
159	должна быть	2	2
160	от друга	2	2
161	противоречие с	2	2
162	том чтобы	3	2
163	по самому	2	2
164	на том	3	2
165	той или	3	2
166	в качестве	3	2
167	о которых	3	2
168	в котором	2	2
169	себе и	4	2
170	но мы	3	2
171	друг от	2	2
172	из них	3	2
173	во всех	5	2
174	быть и	2	2
175	отношения к	2	2
176	все это	6	2
177	отличается от	2	2
178	по отношению	2	2
179	от нас	2	2
180	в течение	2	2
181	и вот	2	2
182	приводит к	4	2
183	с точки	9	2
184	и даже	2	2
185	должно быть	3	2
186	в глазах	2	2
187	бы для	2	2
188	и с	7	2
189	даже и	2	2
190	во всем	4	2
191	в то	10	2
192	если же	2	2
193	том и	2	2
194	все эти	2	2
195	естественно что	2	2
196	из этого	3	2
197	конце концов	3	2
198	и ни	3	2
199	но она	2	2
200	на самом	6	2
