N	2gram	Savitsky_P_1	Morfolog
1	может быть	5	52
2	и т	3	49
3	и пр	5	40
4	не может	4	17
5	т е	3	16
6	могут быть	3	15
7	с этим	2	14
8	и в	14	13
9	в этом	10	13
10	прежде всего	3	9
11	то же	9	9
12	и не	12	9
13	а не	2	9
14	с другой	5	8
15	в качестве	9	7
16	это не	3	6
17	в том	9	6
18	но не	3	6
19	а также	4	6
20	а в	4	6
21	не менее	2	5
22	наряду с	3	5
23	вслед за	3	5
24	во всех	2	5
25	как бы	4	5
26	то что	4	5
27	потому что	3	5
28	мы не	3	5
29	что в	4	4
30	к началу	2	4
31	и как	3	4
32	было бы	6	4
33	не только	17	4
34	на пути	4	4
35	хотя и	3	4
36	точки зрения	3	4
37	с точки	3	4
38	если в	2	4
39	если бы	4	3
40	в начале	2	3
41	же в	4	3
42	том что	4	3
43	в пределах	8	3
44	но и	6	3
45	к чему	2	3
46	из них	2	3
47	в то	7	3
48	мы должны	4	3
49	но в	9	3
50	с тем	3	2
51	в виде	2	2
52	в частности	2	2
53	хотя бы	8	2
54	и к	4	2
55	только в	7	2
56	одной стороны	3	2
57	знать что	2	2
58	есть нечто	2	2
59	с одной	3	2
60	того что	2	2
61	для того	3	2
62	является в	2	2
63	что мы	3	2
64	одна из	2	2
