N	2gram	Berdyaev_O_1	Myshleni
1	в том	5	42
2	том что	2	35
3	в этом	12	24
4	и в	19	20
5	что в	4	19
6	то что	5	15
7	не только	11	15
8	что они	2	14
9	потому что	9	12
10	может быть	11	12
11	в его	7	11
12	того что	3	10
13	в истории	2	10
14	так как	2	10
15	и то	2	10
16	в себе	3	10
17	но и	13	9
18	как и	6	9
19	что и	2	9
20	и не	13	8
21	было бы	3	8
22	как бы	3	7
23	в своей	2	7
24	а не	11	7
25	того чтобы	4	7
26	тем что	2	7
27	могут быть	3	7
28	уже в	2	6
29	в самом	5	6
30	не может	4	6
31	и на	2	6
32	сказать что	2	6
33	его в	2	6
34	с тем	2	6
35	что он	3	6
36	никогда не	9	5
37	это не	3	5
38	и его	4	5
39	и к	2	5
40	все же	2	5
41	о том	3	5
42	так и	2	5
43	для того	3	5
44	все эти	4	5
45	в своем	2	4
46	и с	2	4
47	к этому	2	4
48	не в	11	4
49	и для	2	4
50	не могут	3	3
51	в этих	3	3
52	и от	3	3
53	что все	2	3
54	так что	2	3
55	в этой	5	3
56	должно быть	2	3
57	но в	2	3
58	различие между	3	3
59	чем в	2	3
60	когда он	3	3
61	в которой	2	3
62	прежде всего	9	2
63	для него	5	2
64	в нем	10	2
65	к нему	3	2
66	не имеет	2	2
67	а в	5	2
68	у него	22	2
69	ничего кроме	2	2
70	еще не	3	2
71	которую он	2	2
72	не есть	2	2
73	мысли и	3	2
74	и он	8	2
