N	2gram	Potebnia_M_3	OGranits
1	и в	30	13
2	и его	4	12
3	прежде всего	3	9
4	не может	6	8
5	и не	15	8
6	может быть	28	8
7	точки зрения	2	7
8	в его	4	7
9	таким образом	14	6
10	не только	21	6
11	то что	18	6
12	только в	21	6
13	мы должны	4	6
14	как бы	3	6
15	художественного произведения	5	5
16	все же	2	5
17	языка и	2	5
18	и наконец	2	5
19	то же	23	4
20	но мы	2	4
21	в своей	2	4
22	все это	4	4
23	в каждом	3	4
24	мы не	9	4
25	мы можем	3	4
26	было бы	9	4
27	в сознании	15	4
28	отношению к	5	3
29	что в	17	3
30	но и	19	3
31	так и	11	3
32	что же	2	3
33	в их	2	3
34	по отношению	5	3
35	не как	2	3
36	и все	3	3
37	в одном	2	3
38	самом деле	2	3
39	к одному	5	3
40	в ее	2	3
41	поэтического произведения	2	3
42	как и	10	3
43	не в	15	3
44	за пределы	2	3
45	в которой	3	3
46	и то	8	3
47	не столько	2	3
48	одно и	5	3
49	в себе	16	3
50	в искусстве	3	3
51	говорить о	3	3
52	ничего общего	2	3
53	с этим	6	3
54	так как	13	3
55	слово в	4	3
56	не менее	5	2
57	себе что	2	2
58	для себя	3	2
59	уже в	5	2
60	с этой	2	2
61	а как	2	2
62	и тем	5	2
63	в нем	9	2
64	в целом	3	2
65	а не	15	2
66	художественное произведение	6	2
67	что эта	2	2
68	думать что	5	2
69	в произведении	3	2
70	может стать	2	2
71	другой стороны	4	2
72	с другой	7	2
73	в языке	7	2
74	в них	5	2
75	входит в	2	2
76	собственно говоря	2	2
77	а в	12	2
78	с одной	7	2
79	вовсе не	7	2
80	те же	6	2
81	есть не	7	2
82	же слово	2	2
83	к тому	7	2
84	как в	10	2
85	если бы	12	2
86	в чем	3	2
87	не имеет	6	2
88	в том	32	2
89	так же	3	2
90	том что	18	2
91	мы видим	2	2
92	что они	2	2
93	в этом	10	2
94	от этого	2	2
95	тем что	7	2
96	между тем	9	2
97	и следовательно	3	2
98	могут быть	3	2
99	при этом	3	2
100	для него	9	2
101	одной стороны	3	2
102	и может	3	2
103	в действительности	5	2
104	несмотря на	2	2
105	мы уже	2	2
106	слова и	5	2
107	в области	2	2
108	в самом	8	2
109	вслед за	3	2
110	и при	4	2
111	которое мы	2	2
112	там где	3	2
113	бы в	2	2
114	между собою	6	2
115	в ней	8	2
116	при восприятии	2	2
117	явлений и	2	2
