N	2gram	Losev_Vesc_1	Myslijsy
1	потому что	16	46
2	в слове	2	32
3	в том	8	32
4	и в	21	30
5	может быть	16	28
6	то же	6	23
7	не только	36	21
8	только в	14	21
9	для нас	2	20
10	но и	18	19
11	том что	8	18
12	то что	27	18
13	того что	8	18
14	что в	9	17
15	не есть	49	17
16	по себе	13	16
17	в себе	14	16
18	не в	5	15
19	и не	29	15
20	а не	19	15
21	таким образом	8	14
22	что и	3	13
23	так как	7	13
24	а в	4	12
25	если бы	5	12
26	так и	3	11
27	что оно	8	11
28	как и	8	10
29	и что	15	10
30	в этом	4	10
31	в то	3	10
32	только тогда	3	9
33	для него	4	9
34	было бы	14	9
35	в нем	2	9
36	мы не	6	9
37	тогда когда	5	9
38	в самом	9	8
39	от того	3	8
40	в ней	12	8
41	что не	5	8
42	только что	2	8
43	что мы	14	8
44	и то	10	8
45	слова в	2	7
46	и без	3	7
47	с другой	6	7
48	вовсе не	10	7
49	к тому	3	7
50	как мы	4	7
51	так что	5	7
52	с тем	5	7
53	но не	5	7
54	есть не	14	7
55	с одной	3	7
56	тем что	2	7
57	что только	3	6
58	но это	10	6
59	с этим	3	6
60	из них	4	6
61	между собою	6	6
62	то это	3	6
63	то и	4	6
64	не может	17	6
65	уже не	9	6
66	образ и	3	6
67	с ним	8	6
68	независимо от	5	5
69	по крайней	4	5
70	и как	8	5
71	в своем	6	5
72	еще не	8	5
73	в действительности	7	5
74	крайней мере	4	5
75	и тем	3	5
76	не менее	3	5
77	одно и	5	5
78	к одному	3	5
79	есть только	7	5
80	должно быть	6	5
81	с другими	8	5
82	тому как	4	5
83	сказать что	17	5
84	сам по	3	5
85	и т	19	5
86	что я	24	5
87	к ней	2	5
88	слова и	5	5
89	что это	13	4
90	перестает быть	3	4
91	оно не	3	4
92	и от	3	4
93	в смысле	12	4
94	есть ни	3	4
95	все это	5	4
96	в его	2	4
97	относится к	5	4
98	себя и	4	4
99	была бы	2	4
100	в котором	3	4
101	себе не	3	4
102	один из	3	4
103	другой стороны	2	4
104	есть нечто	6	4
105	на это	4	4
106	а и	9	4
107	и его	2	4
108	если не	3	4
109	все равно	2	4
110	для того	2	4
111	быть только	3	4
112	мы должны	2	4
113	и это	14	4
114	и потому	5	4
115	слово в	2	4
116	для меня	2	4
117	есть еще	3	3
118	и есть	26	3
119	тому что	2	3
120	или что	3	3
121	прежде всего	9	3
122	и все	5	3
123	что все	2	3
124	а только	3	3
125	оно есть	9	3
126	я и	6	3
127	тем не	3	3
128	и оно	3	3
129	не будет	12	3
130	свою очередь	4	3
131	мы можем	4	3
132	в свою	4	3
133	бы ни	2	3
134	можно сказать	6	3
135	одной стороны	3	3
136	и может	2	3
137	действительности и	5	3
138	никак не	3	3
139	и следовательно	7	3
140	что она	15	3
141	как бы	12	3
142	для себя	5	3
143	от всего	12	3
144	не знаем	2	3
145	каждой из	2	3
146	со стороны	5	3
147	только на	3	3
148	т д	19	3
149	не я	2	3
150	того чтобы	3	3
151	слово и	4	3
152	в силу	3	3
153	или в	2	3
154	это можно	2	3
155	с но	2	3
156	говорить о	6	3
157	его в	2	3
158	в первом	2	3
159	в чем	6	3
160	не то	4	3
161	только не	2	2
162	перед нами	2	2
163	об этом	3	2
164	из себя	3	2
165	от нее	2	2
166	на нас	2	2
167	первом случае	2	2
168	в одном	2	2
169	в понятии	4	2
170	с нею	18	2
171	в собственном	2	2
172	есть то	9	2
173	на то	4	2
174	сама по	3	2
175	идеи и	3	2
176	в ее	7	2
177	мы видим	2	2
178	в этой	3	2
179	что они	6	2
180	как ее	2	2
181	можно только	4	2
182	у него	2	2
183	могла бы	3	2
184	но что	2	2
185	она не	4	2
186	и если	2	2
187	и о	3	2
188	понимать себя	6	2
189	мы уже	3	2
190	в свое	2	2
191	так или	4	2
192	язык есть	2	2
193	себе что	3	2
194	только один	2	2
195	собственно говоря	4	2
196	все же	4	2
197	зрения и	2	2
198	в свой	2	2
199	жизни и	2	2
200	то или	2	2
201	мною в	2	2
202	в своей	5	2
203	собственном смысле	3	2
204	что же	8	2
205	мысли и	3	2
206	что есть	5	2
207	образ в	2	2
208	в разных	4	2
209	а с	3	2
210	быть не	4	2
211	это и	6	2
212	из того	2	2
213	но только	3	2
214	мы ее	5	2
215	самом деле	4	2
216	что такое	12	2
217	и даже	6	2
218	и притом	3	2
219	той же	2	2
220	тут же	2	2
221	в мысли	3	2
222	с этой	4	2
223	их в	3	2
224	от этого	2	2
225	с в	2	2
226	точки зрения	5	2
227	подобно тому	4	2
228	себя от	2	2
229	у меня	3	2
230	бы в	5	2
231	о том	6	2
232	и самое	2	2
233	когда мы	6	2
234	то не	4	2
235	и с	8	2
236	вне себя	2	2
