N	2gram	Bakhtin_fo_2	Istorich
1	и в	46	25
2	что он	3	22
3	вместе с	9	22
4	и т	14	20
5	т д	3	18
6	представление о	2	17
7	может быть	7	17
8	мы имеем	2	14
9	не только	11	13
10	но и	9	13
11	в его	8	12
12	и не	9	11
13	уже не	3	11
14	так как	6	11
15	все же	6	10
16	в этом	22	10
17	тем что	3	10
18	с другой	2	9
19	его в	6	9
20	и его	12	9
21	таким образом	3	9
22	с тем	2	8
23	связи с	8	8
24	что в	5	8
25	том что	4	8
26	мы видим	2	8
27	еще не	6	8
28	все эти	5	8
29	и на	7	8
30	в частности	5	7
31	в качестве	3	7
32	во время	10	7
33	мы видели	2	7
34	а затем	3	7
35	как и	8	7
36	но это	2	7
37	то что	7	7
38	этом случае	2	7
39	в нем	5	7
40	с одной	2	7
41	представлений о	2	7
42	в иной	2	7
43	потому что	8	7
44	только в	11	7
45	о том	4	7
46	в этих	3	6
47	это не	2	6
48	прежде всего	14	6
49	что и	3	6
50	как в	4	6
51	не может	2	6
52	и он	4	6
53	не в	9	6
54	могут быть	2	6
55	в том	10	6
56	там где	2	6
57	него и	2	5
58	в море	3	5
59	с этим	5	5
60	в образе	4	5
61	как мы	6	5
62	здесь мы	3	5
63	но не	5	5
64	так же	2	5
65	если не	2	4
66	что все	2	4
67	в дальнейшем	5	4
68	мы уже	9	4
69	в пределах	5	4
70	наряду с	2	4
71	в основном	8	4
72	в некоторых	2	4
73	все это	6	4
74	в связи	8	4
75	то же	8	4
76	в истории	4	4
77	от этого	2	4
78	он не	5	4
79	и это	2	4
80	с ним	4	4
81	затем в	3	3
82	никогда не	6	3
83	и как	3	3
84	и все	6	3
85	ее и	2	3
86	ему в	3	3
87	в этой	2	3
88	в то	5	3
89	в себя	2	3
90	того чтобы	8	3
91	и пр	2	3
92	но эти	3	3
93	если в	2	3
94	и др	5	3
95	драгоценные камни	2	3
96	только один	2	3
97	в форме	3	3
98	сюда же	2	3
99	на этом	2	3
100	в особенности	6	3
101	для того	8	3
102	а в	3	3
103	в которых	3	3
104	в данном	2	3
105	их в	4	3
106	и с	6	3
107	здесь еще	3	3
108	человека в	6	3
109	что здесь	2	3
110	они сами	2	2
111	уже в	4	2
112	одновременно с	2	2
113	у него	9	2
114	связанные с	5	2
115	и затем	2	2
116	человека и	4	2
117	со своими	2	2
118	к этому	3	2
119	вовсе не	13	2
120	по себе	2	2
121	можно сказать	2	2
122	так что	4	2
123	же в	4	2
124	с этой	4	2
125	по существу	5	2
126	как у	3	2
127	а на	2	2
128	того же	3	2
129	после этого	2	2
130	это значит	3	2
131	до сих	2	2
132	она не	2	2
133	в это	3	2
134	жизни и	8	2
135	друг с	4	2
136	как бы	10	2
137	и потому	2	2
138	один из	2	2
139	как можно	3	2
140	сих пор	2	2
141	во всех	11	2
142	ее в	3	2
143	и для	9	2
144	и других	2	2
145	и они	3	2
146	находится в	2	2
147	другой пример	3	2
148	а не	4	2
149	того что	3	2
150	и по	3	2
151	роль в	3	2
152	то в	2	2
153	с большой	2	2
154	но он	2	2
155	точки зрения	10	2
156	ту же	2	2
157	которой он	2	2
158	из них	8	2
159	с другом	4	2
160	под землей	2	2
161	особенно в	2	2
162	о чем	3	2
163	все его	4	2
164	значит что	2	2
165	том как	3	2
