N	3gram	Trubetskoy_1	KulturaY
1	в том что	15	15
2	для того чтобы	7	15
3	с точки зрения	8	9
4	по отношению к	9	8
5	в самом деле	5	7
6	с другой стороны	4	6
7	о том что	4	5
8	во всяком случае	2	5
9	том что он	2	4
10	до сих пор	8	4
11	что же касается	2	4
12	тем не менее	4	4
13	в свою очередь	2	3
14	более или менее	7	3
15	в связи с	3	3
16	не может быть	3	3
17	вместе с тем	2	3
18	а с другой	2	3
19	того чтобы быть	2	2
20	и того же	3	2
21	естественно поэтому что	3	2
22	то же время	2	2
23	одного и того	3	2
24	на то что	7	2
25	котором идет речь	5	2
26	о котором идет	5	2
27	в то же	2	2
28	на самом деле	7	2
29	так или иначе	5	2
30	заключается в том	2	2
31	в том и	2	2
32	но все же	2	2
33	в этом случае	4	2
