N	3gram	Tiupa_Hudo_1	Marksizm
1	с точки зрения	3	13
2	не может быть	3	10
3	то же время	5	8
4	в то же	5	8
5	по отношению к	9	8
6	в том что	7	6
7	для того чтобы	2	6
8	в свою очередь	2	5
9	может быть и	2	5
10	и того же	2	4
11	той или иной	4	4
12	одного и того	2	4
13	к тому что	2	3
14	в той или	2	3
15	одно и то	3	3
16	с одной стороны	2	3
17	в отличие от	7	3
18	и то же	3	3
19	более или менее	5	2
20	внутренней и внешней	2	2
21	ни в коем	2	2
22	того или иного	3	2
23	в противном случае	2	2
24	в данном контексте	2	2
25	всех без исключения	3	2
26	в коем случае	2	2
