N	2gram	Vygotskiy__4	Russkaja
1	не может	6	22
2	и не	8	19
3	в том	42	17
4	в этом	24	17
5	и в	20	14
6	с другом	7	14
7	друг с	7	14
8	то что	15	13
9	таким образом	25	11
10	то же	16	11
11	точки зрения	24	11
12	но и	9	10
13	том что	35	9
14	не только	15	9
15	в себе	10	9
16	с точки	11	9
17	может быть	12	9
18	во всяком	4	9
19	прежде всего	2	8
20	того чтобы	7	8
21	отнюдь не	3	7
22	к тому	6	7
23	самом деле	7	7
24	в данном	2	7
25	самого себя	2	7
26	мы должны	11	7
27	о том	5	7
28	и с	4	7
29	если бы	5	6
30	что он	6	6
31	и к	5	6
32	и при	4	6
33	с тем	6	6
34	для него	2	6
35	для того	5	6
36	всяком случае	3	6
37	в своем	4	6
38	и для	4	6
39	между собой	5	5
40	на то	5	5
41	и на	6	5
42	при этом	12	5
43	было бы	8	5
44	в своей	7	5
45	никогда не	5	5
46	в нем	2	5
47	и только	4	5
48	по существу	3	5
49	а в	2	5
50	потому что	12	5
51	только в	10	5
52	между тем	9	5
53	но не	3	4
54	не могут	3	4
55	что в	19	4
56	тогда когда	8	4
57	как и	9	4
58	как бы	7	4
59	себе и	3	4
60	все же	5	4
61	себя в	3	4
62	вместе с	8	4
63	со стороны	3	4
64	от того	3	4
65	в их	12	4
66	приводит к	3	4
67	в совершенно	3	4
68	не в	4	4
69	можно было	6	4
70	и то	10	4
71	в этой	3	4
72	во всем	3	4
73	в его	11	4
74	и т.д	2	4
75	его в	6	4
76	так как	10	4
77	может не	2	3
78	что это	2	3
79	на том	4	3
80	именно в	3	3
81	из этих	2	3
82	что все	3	3
83	таким же	2	3
84	этом случае	3	3
85	и как	9	3
86	что они	14	3
87	собой и	2	3
88	должно быть	3	3
89	в качестве	21	3
90	еще не	2	3
91	в самом	6	3
92	мы говорили	3	3
93	том чтобы	2	3
94	одной из	3	3
95	что и	9	3
96	не есть	2	3
97	из них	4	3
98	данном случае	2	3
99	только к	3	3
100	что оно	4	3
101	того что	10	3
102	друг друга	4	3
103	приходит к	3	3
104	тем что	7	3
105	и во	3	3
106	в виде	3	3
107	связи с	3	3
108	в сознании	4	3
109	место в	2	2
110	а с	2	2
111	нисколько не	2	2
112	и более	7	2
113	должна быть	2	2
114	в частности	5	2
115	у него	2	2
116	не подлежит	3	2
117	и от	3	2
118	с этим	5	2
119	точно так	3	2
120	это в	2	2
121	состоит в	4	2
122	представить себе	2	2
123	ясно что	2	2
124	ни в	3	2
125	так что	3	2
126	является не	4	2
127	указывает на	2	2
128	отличается от	2	2
129	настоящее время	2	2
130	что с	4	2
131	и тот	7	2
132	совершенно не	3	2
133	видеть в	2	2
134	но для	2	2
135	в ней	2	2
136	и является	3	2
137	речь идет	5	2
138	в настоящее	2	2
139	приводят к	3	2
140	и тем	8	2
141	в противоречие	2	2
142	для нас	4	2
143	противоречие с	2	2
144	и тогда	2	2
145	тому что	4	2
146	целый ряд	5	2
147	тогда как	2	2
148	если не	2	2
149	все эти	5	2
150	не просто	2	2
151	только на	2	2
152	и что	8	2
153	тем самым	7	2
154	а не	7	2
155	факт что	2	2
156	что такое	5	2
157	к нему	2	2
158	так же	11	2
159	и те	4	2
160	во многих	2	2
161	в таком	2	2
162	том же	2	2
163	в результате	8	2
164	их в	2	2
165	в силу	6	2
166	мы можем	5	2
167	мы уже	5	2
168	этой третьей	2	2
169	в начале	2	2
170	говоря о	2	2
171	в этих	3	2
172	в области	4	2
173	но в	3	2
