N	2gram	Bakhtin_Fr_8	Hudozhes
1	том что	8	16
2	и в	56	14
3	так и	13	13
4	а не	2	12
5	в том	13	12
6	не только	8	12
7	при этом	4	12
8	о том	4	12
9	прежде всего	6	11
10	в этом	14	11
11	в себе	4	11
12	для него	2	10
13	в своей	2	10
14	у него	7	9
15	что он	2	9
16	как и	5	9
17	в качестве	4	9
18	то же	11	9
19	то что	3	8
20	же время	10	8
21	между тем	3	8
22	в этой	6	8
23	в то	12	8
24	в его	18	8
25	казалось бы	3	7
26	это не	2	7
27	уже не	3	7
28	не в	3	7
29	еще не	10	7
30	своего рода	5	7
31	как бы	11	7
32	не может	2	7
33	а в	2	7
34	никогда не	5	6
35	что в	5	6
36	было бы	2	6
37	в первой	3	6
38	перед нами	3	5
39	с его	5	5
40	в частности	7	5
41	в этих	11	5
42	интерес к	2	5
43	может быть	3	5
44	только в	9	5
45	но и	9	5
46	самом деле	2	5
47	и его	12	5
48	потому что	6	5
49	ни в	2	5
50	точки зрения	6	5
51	но в	6	5
52	связи с	6	4
53	в своем	3	4
54	и все	6	4
55	в духе	4	4
56	можно сказать	2	4
57	и к	4	4
58	в действительности	2	4
59	картины мира	2	4
60	несмотря на	2	4
61	мы уже	10	4
62	в самом	9	4
63	и о	3	4
64	в ней	4	4
65	один из	5	4
66	что она	2	4
67	картина мира	2	4
68	из них	2	4
69	как раз	2	4
70	в центре	2	4
71	не было	5	4
72	он не	5	4
73	по своей	4	4
74	с ним	2	4
75	и с	8	4
76	но не	5	3
77	если бы	2	3
78	но он	3	3
79	романа в	2	3
80	это в	2	3
81	в литературе	3	3
82	в мире	2	3
83	как мы	7	3
84	в ее	6	3
85	по своему	8	3
86	в пределах	5	3
87	своего времени	6	3
88	по преимуществу	2	3
89	даже в	4	3
90	в нем	8	3
91	все же	2	3
92	в связи	3	3
93	и для	2	3
94	все эти	15	3
95	того чтобы	4	3
96	и даже	8	3
97	с точки	2	3
98	в своих	4	3
99	такой же	5	3
100	и на	7	3
101	как к	2	3
102	его в	2	3
103	а также	3	3
104	в творчестве	5	3
105	и потому	4	2
106	что на	2	2
107	так что	3	2
108	в другом	3	2
109	этот момент	2	2
110	одна из	4	2
111	до конца	11	2
112	одной из	3	2
113	себе и	2	2
114	например в	4	2
115	на его	6	2
116	только на	2	2
117	в третьей	4	2
118	хотя и	2	2
119	прибегает к	2	2
120	его жизни	2	2
121	сих пор	8	2
122	в форме	3	2
123	в их	3	2
124	все это	8	2
125	для своего	2	2
126	и не	9	2
127	но с	2	2
128	на самом	2	2
129	они не	5	2
130	в значительной	2	2
131	в речи	2	2
132	той же	6	2
133	в изображении	4	2
134	с этой	2	2
135	в результате	5	2
136	действующих лиц	2	2
137	с ее	5	2
138	характер и	3	2
139	так сказать	5	2
140	характер в	3	2
141	мы не	2	2
142	до сих	8	2
