N	2gram	Berdyaev_N_1	Myshleni
1	то что	4	26
2	в этом	7	25
3	потому что	4	21
4	в том	8	18
5	не может	16	18
6	того чтобы	2	17
7	что в	9	16
8	и в	16	16
9	не только	5	16
10	так же	2	15
11	том что	2	15
12	сказать что	3	13
13	вопрос о	3	12
14	и не	11	12
15	и что	2	12
16	но не	2	10
17	а не	17	10
18	может быть	7	9
19	должно быть	4	8
20	о том	4	8
21	как это	2	8
22	в основе	3	8
23	как и	7	8
24	он не	8	8
25	же как	2	7
26	и есть	10	7
27	в нем	5	7
28	так и	2	7
29	что все	2	6
30	не в	6	6
31	но и	3	6
32	и на	2	6
33	но в	2	6
34	у него	2	6
35	к тому	3	6
36	должна быть	3	5
37	никогда не	6	5
38	хотя бы	2	5
39	не знает	6	5
40	в то	2	5
41	как в	3	5
42	мысли и	2	5
43	можно было	2	5
44	значит что	4	5
45	зависит от	2	4
46	все эти	2	4
47	с другой	3	4
48	это не	4	4
49	в новой	7	4
50	это есть	7	4
51	не имеет	4	4
52	время как	2	4
53	мысли в	2	4
54	не означает	3	4
55	с их	2	4
56	еще не	3	4
57	за пределы	3	4
58	не есть	3	4
59	вместе с	2	4
60	тому как	3	4
61	могут быть	2	4
62	такой же	2	4
63	подобно тому	3	4
64	не менее	4	3
65	перейти к	3	3
66	прежде всего	4	3
67	в смысле	2	3
68	но это	6	3
69	одной стороны	2	3
70	с одной	2	3
71	а в	2	3
72	и с	2	3
73	мы не	2	3
74	к жизни	3	3
75	с тем	3	3
76	с этим	2	3
77	по существу	2	3
78	это и	2	3
79	по своему	4	3
80	переход к	2	3
81	вот почему	2	3
82	я не	2	2
83	самый процесс	2	2
84	и от	2	2
85	высшей степени	6	2
86	не имеют	2	2
87	в ней	5	2
88	в своей	3	2
89	что она	2	2
90	все это	5	2
91	другой стороны	2	2
92	и даже	2	2
93	к ним	3	2
94	в истории	3	2
95	в них	4	2
96	к самой	2	2
97	в жизни	5	2
98	быть в	2	2
99	и к	5	2
100	жизни и	8	2
101	и потому	4	2
102	в высшей	6	2
103	во всех	3	2
104	в центре	2	2
105	от всякого	2	2
106	на протяжении	2	2
107	как будто	2	2
108	мы говорим	2	2
