N	2gram	Tiupa_Teor_1	Tragedij
1	и в	18	18
2	в романе	3	10
3	в этом	8	9
4	не только	16	8
5	и не	13	7
6	может быть	17	7
7	как бы	5	7
8	и его	8	6
9	же время	5	6
10	но в	9	6
11	к жизни	2	5
12	так и	10	5
13	это не	2	5
14	не может	4	5
15	то же	7	5
16	как и	4	5
17	в то	6	5
18	но и	9	4
19	то что	3	4
20	в целом	3	4
21	что в	9	4
22	все это	2	4
23	я не	2	4
24	прежде всего	2	4
25	в нем	4	4
26	и даже	2	4
27	так же	2	4
28	том что	9	4
29	в этой	3	4
30	и что	3	4
31	в себе	9	4
32	еще не	4	4
33	об этом	2	4
34	один из	2	3
35	с ее	3	3
36	отнюдь не	3	3
37	в своем	4	3
38	никто не	2	3
39	в конце	2	3
40	как в	5	3
41	все эти	2	3
42	тем самым	4	3
43	и как	2	3
44	в его	6	3
45	для него	2	3
46	при этом	12	3
47	своего рода	7	3
48	как будто	2	3
49	мог бы	3	3
50	в мире	19	3
51	как это	8	3
52	то есть	12	3
53	перед нами	2	2
54	не могут	2	2
55	что и	2	2
56	в душе	8	2
57	как говорит	3	2
58	в частности	16	2
59	в отличие	6	2
60	данном случае	5	2
61	который в	2	2
62	дома и	2	2
63	уже не	4	2
64	с его	5	2
65	отношение к	5	2
66	говорит что	2	2
67	к тому	2	2
68	столь же	2	2
69	времени в	2	2
70	и здесь	2	2
71	в ходе	4	2
72	ни в	2	2
73	в ее	5	2
74	в том	16	2
75	отличие от	6	2
76	не в	7	2
77	в данном	8	2
78	и то	2	2
79	в рассказе	2	2
80	не случайно	5	2
81	потому что	3	2
82	в первом	2	2
83	личности и	4	2
84	в глаза	2	2
85	и ее	3	2
86	на меня	3	2
87	к области	2	2
88	его в	2	2
89	и это	2	2
90	в самом	4	2
91	для искусства	2	2
92	он не	3	2
93	в одном	2	2
94	что она	2	2
95	никогда не	4	2
96	имеет в	2	2
