N	2gram	Tiupa_Lite_2	Istorich
1	что он	3	24
2	и т	2	19
3	не только	8	18
4	может быть	17	17
5	никогда не	3	15
6	и в	19	15
7	но и	10	14
8	так как	3	14
9	что в	4	12
10	а в	3	12
11	то что	7	12
12	и не	11	11
13	в этом	9	11
14	то же	12	10
15	с тем	2	9
16	еще не	2	9
17	все же	2	9
18	в другом	3	9
19	потому что	2	9
20	один из	4	8
21	он не	5	8
22	том что	7	7
23	в нем	3	7
24	вместе с	5	7
25	не в	4	7
26	ничего не	3	7
27	так что	4	6
28	в его	4	6
29	как бы	2	6
30	что и	2	6
31	и что	2	6
32	в том	10	6
33	но в	2	6
34	прежде всего	4	5
35	в одном	2	5
36	этом случае	2	5
37	было бы	2	5
38	же как	2	5
39	так и	7	5
40	не может	9	5
41	а не	20	5
42	и наконец	2	5
43	в русской	4	5
44	представляет собой	2	5
45	с одной	7	4
46	и др	3	4
47	у него	2	4
48	для нас	2	4
49	но это	3	4
50	в этой	3	4
51	при этом	6	4
52	одной из	2	4
53	в ней	4	4
54	и с	3	4
55	тем что	4	4
56	и на	6	4
57	в себе	6	4
58	к этой	2	4
59	в качестве	5	3
60	и его	3	3
61	как это	2	3
62	одной стороны	6	3
63	о том	2	3
64	отношению к	3	3
65	а именно	3	3
66	в их	3	3
67	по отношению	4	3
68	так в	5	3
69	в себя	3	3
70	того что	5	3
71	не видит	2	3
72	право на	3	3
73	мы не	4	3
74	тому как	2	3
75	подобно тому	2	3
76	он и	2	3
77	как он	2	3
78	уже в	2	2
79	я не	5	2
80	не было	2	2
81	могут быть	2	2
82	себя и	2	2
83	со мной	4	2
84	пути в	8	2
85	с другой	8	2
86	не столько	3	2
87	но с	3	2
88	в жизни	2	2
89	все еще	2	2
90	не знает	2	2
91	а затем	2	2
92	по существу	3	2
93	как и	10	2
94	такой же	3	2
95	одна из	5	2
96	но не	5	2
97	одно из	2	2
98	и для	3	2
99	в сущности	3	2
100	а также	2	2
101	был бы	2	2
102	хотя бы	2	2
103	с ее	2	2
104	из них	2	2
105	во всех	3	2
106	и только	2	2
107	другой стороны	4	2
108	той же	2	2
109	с образом	2	2
110	человека в	4	2
111	тем самым	3	2
112	и то	3	2
113	в русском	2	2
114	состоит в	9	2
115	под названием	2	2
116	в него	2	2
117	в виду	2	2
