N	2gram	Medvedev_F_2	Hudozhes
1	том что	2	16
2	и в	38	14
3	так и	8	13
4	а не	6	12
5	в том	11	12
6	не только	9	12
7	при этом	9	12
8	прежде всего	15	11
9	и т	14	11
10	в этом	27	11
11	для него	7	10
12	в своей	7	10
13	что он	5	9
14	как и	9	9
15	в качестве	2	9
16	то же	6	9
17	как в	4	8
18	то что	6	8
19	же время	5	8
20	т п	9	8
21	между тем	2	8
22	в этой	6	8
23	в то	5	8
24	в его	10	8
25	ничего не	4	8
26	это не	2	7
27	к тому	4	7
28	уже не	7	7
29	не в	15	7
30	как бы	4	7
31	не может	14	7
32	именно в	5	7
33	а в	6	7
34	никогда не	2	6
35	что в	7	6
36	было бы	6	6
37	перед нами	2	5
38	с его	11	5
39	в этих	2	5
40	может быть	23	5
41	только в	6	5
42	но и	13	5
43	во второй	2	5
44	жизни и	3	5
45	самом деле	8	5
46	и его	21	5
47	потому что	2	5
48	ни в	2	5
49	точки зрения	8	5
50	но в	4	5
51	связи с	13	4
52	тому что	2	4
53	т е	26	4
54	столь же	2	4
55	к другому	2	4
56	та же	2	4
57	и от	2	4
58	и все	3	4
59	и к	4	4
60	а только	2	4
61	то в	2	4
62	она не	2	4
63	в самом	16	4
64	и о	2	4
65	в ней	6	4
66	один из	2	4
67	из них	4	4
68	как раз	6	4
69	не было	6	4
70	того что	3	4
71	он не	6	4
72	в конце	2	4
73	и это	2	4
74	с ним	2	4
75	и с	9	4
76	но не	2	3
77	если бы	5	3
78	отнюдь не	8	3
79	превращается в	2	3
80	с этим	5	3
81	идет о	2	3
82	как мы	7	3
83	в ее	2	3
84	как его	2	3
85	говорить о	5	3
86	от него	2	3
87	на этом	2	3
88	в пределах	12	3
89	по преимуществу	5	3
90	даже в	2	3
91	в нем	13	3
92	все же	8	3
93	со стороны	2	3
94	приводит к	2	3
95	то и	3	3
96	в связи	10	3
97	т д	5	3
98	и для	5	3
99	этом отношении	7	3
100	все эти	6	3
101	лишь в	7	3
102	того чтобы	3	3
103	и даже	4	3
104	с точки	7	3
105	и по	2	3
106	в таком	2	3
107	ничем не	2	3
108	тем что	8	3
109	однако и	3	3
110	такой же	3	3
111	и на	3	3
112	как к	3	3
113	его в	3	3
114	едва ли	2	3
115	если в	3	2
116	и другое	2	2
117	так в	3	2
118	не столько	4	2
119	установкой на	2	2
120	в одной	2	2
121	произведения не	3	2
122	на фоне	4	2
123	в такой	2	2
124	или иного	5	2
125	по себе	7	2
126	совершенно иной	2	2
127	что на	2	2
128	мы знаем	3	2
129	состоит в	2	2
130	для всего	2	2
131	же как	3	2
132	в целом	3	2
133	до конца	2	2
134	например в	3	2
135	только на	3	2
136	значительной степени	3	2
137	хотя и	3	2
138	слова как	2	2
139	для нее	2	2
140	что же	5	2
141	в их	6	2
142	все это	3	2
143	особенно в	3	2
144	по теории	3	2
145	и не	20	2
146	на самом	3	2
147	они не	4	2
148	в значительной	3	2
149	что не	4	2
150	того или	4	2
151	не имеет	2	2
152	должно быть	2	2
153	не была	2	2
154	с ними	2	2
155	в результате	6	2
156	литературного творчества	2	2
157	не о	4	2
158	в первый	5	2
159	слова в	3	2
160	не следует	4	2
161	в художественном	2	2
162	но как	2	2
163	здесь не	4	2
164	так сказать	3	2
165	б м	3	2
166	как она	2	2
167	мы не	3	2
