N	2gram	Tiupa_Hudo_1	FransuaR
1	и в	14	41
2	в этом	11	15
3	и все	4	14
4	как и	9	14
5	в этой	8	13
6	то же	9	13
7	все эти	3	13
8	мы уже	4	12
9	в его	8	12
10	прежде всего	11	11
11	в том	12	11
12	как мы	3	11
13	в себе	11	11
14	так и	13	10
15	все это	2	10
16	в то	8	10
17	в качестве	9	9
18	и его	5	9
19	не в	7	9
20	же время	8	9
21	но и	5	9
22	в своем	4	9
23	что в	6	9
24	в конце	4	8
25	и от	4	8
26	то что	8	8
27	но в	5	8
28	как бы	7	7
29	в нем	3	7
30	и не	2	7
31	у него	9	6
32	это не	7	6
33	ни в	5	6
34	для него	10	6
35	только в	5	6
36	о том	12	6
37	не только	12	5
38	и к	4	5
39	на этом	3	5
40	в ней	4	5
41	как в	8	5
42	а в	7	5
43	и для	3	5
44	точки зрения	5	5
45	и это	4	5
46	потому что	5	5
47	хотя и	2	4
48	но он	3	4
49	том что	16	4
50	одна из	2	4
51	было бы	6	4
52	картины мира	4	4
53	может быть	5	4
54	он не	4	4
55	к жизни	5	4
56	влияние на	2	4
57	должно быть	2	4
58	и на	3	4
59	та же	4	4
60	и с	4	4
61	ничего не	8	4
62	поэтому и	2	3
63	что у	3	3
64	и потому	2	3
65	это в	3	3
66	в мире	3	3
67	такой же	3	3
68	в своей	10	3
69	в землю	2	3
70	при этом	12	3
71	в это	2	3
72	из них	4	3
73	несмотря на	4	3
74	например в	2	3
75	в третьей	2	3
76	о нем	3	3
77	что он	9	3
78	с ее	2	3
79	жизни и	5	3
80	в форме	2	3
81	в их	2	3
82	не может	7	3
83	не было	4	3
84	с точки	3	3
85	не имеет	2	3
86	и по	3	3
87	той же	2	3
88	можно было	5	3
89	с ними	2	3
90	ничем не	3	3
91	тем что	3	3
92	не знает	2	3
93	его в	3	3
94	так сказать	2	3
95	перед нами	5	2
96	в человеке	2	2
97	с его	5	2
98	в изображении	2	2
99	именно в	7	2
100	никогда не	6	2
101	в этих	5	2
102	в лице	3	2
103	и так	2	2
104	в одной	2	2
105	с этим	3	2
106	на самом	2	2
107	человека в	6	2
108	в следующем	2	2
109	о котором	2	2
110	одновременно и	5	2
111	к тому	7	2
112	интерес к	5	2
113	отношению к	8	2
114	своего времени	3	2
115	по своему	3	2
116	в себя	2	2
117	до конца	2	2
118	еще не	7	2
119	того что	4	2
120	они в	2	2
121	отсюда и	2	2
122	своего рода	7	2
123	значительной степени	2	2
124	на том	2	2
125	одной из	2	2
126	картина мира	4	2
127	а также	3	2
128	глядя на	2	2
129	остановимся на	2	2
130	же в	3	2
131	не знаем	2	2
132	во второй	5	2
133	в первой	6	2
134	по отношению	8	2
135	в связи	3	2
136	этом отношении	3	2
137	только на	2	2
138	в значительной	2	2
139	а не	12	2
140	а только	4	2
141	уже не	7	2
142	особенно в	2	2
143	мы не	2	2
144	в результате	2	2
145	в литературе	3	2
146	как он	2	2
147	это прежде	2	2
148	с ним	4	2
149	по адресу	2	2
150	начинается с	2	2
151	оно было	2	2
152	том как	3	2
