N	2gram	Losev_Dial_1	Istorich
1	т е	25	29
2	что он	11	24
3	и т	21	19
4	не только	13	18
5	т д	19	18
6	может быть	17	17
7	никогда не	9	15
8	и в	18	15
9	мы имеем	2	15
10	но и	7	14
11	так как	11	14
12	так же	4	13
13	что в	13	12
14	а в	5	12
15	то что	13	12
16	об этом	4	11
17	в этих	5	11
18	и не	30	11
19	в этом	12	11
20	что они	3	10
21	то же	10	10
22	еще не	2	9
23	все же	5	9
24	в другом	2	9
25	потому что	14	9
26	мы увидим	2	8
27	один из	3	8
28	он не	3	8
29	мы видим	4	8
30	мы можем	4	8
31	очень много	3	8
32	том что	9	7
33	и пр	5	7
34	в нем	16	7
35	сих пор	2	7
36	не в	6	7
37	ничего не	17	7
38	точно так	2	6
39	так что	15	6
40	до сих	2	6
41	что это	11	6
42	в его	3	6
43	как бы	11	6
44	то это	4	6
45	что и	3	6
46	и что	12	6
47	в том	9	6
48	только в	3	6
49	но в	6	6
50	и есть	16	5
51	с этим	2	5
52	прежде всего	10	5
53	к тому	4	5
54	но все	3	5
55	как в	2	5
56	она не	6	5
57	было бы	12	5
58	же как	2	5
59	в котором	4	5
60	так и	9	5
61	что она	7	5
62	не может	12	5
63	а не	14	5
64	к нему	8	5
65	можно было	5	5
66	можно найти	2	5
67	с одной	2	4
68	а потом	5	4
69	но они	2	4
70	вопрос о	2	4
71	но это	8	4
72	или на	2	4
73	в ней	3	4
74	другими словами	2	4
75	дело не	2	4
76	и с	5	4
77	в себе	11	4
78	что здесь	2	4
79	мы должны	5	4
80	все эти	2	4
81	как она	7	4
82	всех этих	3	3
83	в качестве	2	3
84	из этих	2	3
85	на то	5	3
86	как это	4	3
87	одной стороны	2	3
88	говорит что	3	3
89	мог бы	2	3
90	же и	2	3
91	но если	5	3
92	же можно	2	3
93	по мере	2	3
94	о том	4	3
95	в их	3	3
96	все это	11	3
97	того что	2	3
98	он и	2	3
99	как он	4	3
100	и это	2	3
101	если это	2	3
102	тот кто	2	2
103	я не	5	2
104	не было	6	2
105	они были	2	2
106	и более	4	2
107	в мифе	12	2
108	могут быть	3	2
109	но есть	2	2
110	с другой	6	2
111	это не	9	2
112	и так	2	2
113	но с	3	2
114	на самом	3	2
115	не знает	2	2
116	нисколько не	4	2
117	говорят о	2	2
118	ни в	15	2
119	да и	6	2
120	именно в	2	2
121	что под	2	2
122	как и	2	2
123	такой же	2	2
124	является не	2	2
125	но не	4	2
126	есть и	5	2
127	могла бы	2	2
128	здесь в	2	2
129	и может	2	2
130	и из	3	2
131	и для	2	2
132	зрения так	2	2
133	чтобы понять	3	2
134	много но	2	2
135	хотя бы	6	2
136	из видов	2	2
137	из них	2	2
138	или его	2	2
139	и их	2	2
140	другой стороны	4	2
141	в разных	3	2
142	а с	2	2
143	не просто	7	2
144	д но	2	2
145	самом деле	3	2
146	то не	2	2
147	д и	2	2
148	его не	6	2
149	с другими	2	2
150	с ними	2	2
151	и то	9	2
152	в которых	2	2
153	нет еще	3	2
154	сказать что	10	2
155	то мы	2	2
156	к ней	4	2
157	сказал что	2	2
158	это за	2	2
159	что эта	4	2
160	самый факт	2	2
161	в особенности	5	2
162	иметь в	3	2
163	заметить что	2	2
164	только с	3	2
165	в него	2	2
166	тому же	2	2
167	в виду	5	2
